Authors	RECOMB 2011 Paper Title (Original)	LNCS 6577 Pages	LNCS 6577 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Amnon Amir and Or Zuk	Bacterial Community Reconstruction Using Compressed Sensing	1-15	10.1007/978-3-642-20036-6_1							
Swapnil Bhatia, Yong J. Kil, Beatrix Ueberheide, Brian Chait, Lemmuel L. Tayo, Lourdes J. Cruz, Bingwen Lu, John R. Yates III, Marshall Bern	Constrained De Novo Sequencing of Peptides with Application to Conotoxins	16-30	10.1007/978-3-642-20036-6_2							
Leonid Chindelevitch, Aviv Regev, Bonnie Berger	Metabolic Network Analysis Demystified	31-33	10.1007/978-3-642-20036-6_3							
Leonid Chindelevitch, Daniel Ziemek, Ahmed Enayetallah, Ranjit Randhawa, Ben Sidders, Christoph Brockel, Enoch Huang	Causal Reasoning on Biological Networks: Interpreting Transcriptional Changes	34-37	10.1007/978-3-642-20036-6_4							
Nilgun Donmez and Michael Brudno	Hapsembler: An Assembler for Highly Polymorphic Genomes	38-52	10.1007/978-3-642-20036-6_5							
Jason Ernst and Manolis Kellis	Discovery and Characterization of Chromatin States for Systematic Annotation of the Human Genome	53-53	10.1007/978-3-642-20036-6_6							
Sinan Erten, Gurkan Bebek, Mehmet Koyutürk	Disease Gene Prioritization Based on Topological Similarity in Protein-Protein Interaction Networks	54-68	10.1007/978-3-642-20036-6_7							
Irit Gat-Viks, Renana Meller, Martin Kupiec, Ron Shamir	Understanding Gene Sequence Variation in the Context of Transcription Regulation in Yeast	69-69	10.1007/978-3-642-20036-6_8							
Allison P. Heath, George N. Bennett, Lydia E. Kavraki	Identifying Branched Metabolic Pathways by Merging Linear Metabolic Pathways	70-84	10.1007/978-3-642-20036-6_9							
Glenn Hickey and Mathieu Blanchette	A Probabilistic Model For Sequence Alignment with Context-Sensitive Indels	85-103	10.1007/978-3-642-20036-6_10							
Fereydoun Hormozdiari, Iman Hajirasouliha, Andrew McPherson, Evan E. Eichler, S. Cenk Sahinalp	Simultaneous Structural Variation Discovery in Multiple Paired-End Sequenced Genomes	104-105	10.1007/978-3-642-20036-6_11							
Jim C. Huang and Nebojsa Jojic	Variable Selection through Correlation Sifting	106-123	10.1007/978-3-642-20036-6_12							
Shuai Jiang and Max A. Alekseyev	Weighted Genomic Distance Can Hardly Impose a Bound on the Proportion of Transpositions	124-133	10.1007/978-3-642-20036-6_13							
Jaebum Kim and Jian Ma	PSAR: Measuring Multiple Sequence Alignment Reliability by Probabilistic Sampling	134-135	10.1007/978-3-642-20036-6_14							
Bonnie Kirkpatrick, Shuai Cheng Li, Richard M. Karp, Eran Halperin	Pedigree Reconstruction Using Identity by Descent	136-152	10.1007/978-3-642-20036-6_15							
Sooraj KuttyKrishnan, Jeffrey Sabina, Laura Langton, Mark Johnston, Michael R. Brent	A Quantitative Model of Glucose Signaling in Yeast Reveals an Incoherent Feed Forward Loop Leading to a Specific, Transient Pulse of Transcription	153-153	10.1007/978-3-642-20036-6_16							
Mark D.M. Leiserson, Diana Tatar, Lenore J. Cowen, Benjamin J. Hescott	Inferring Mechanisms of Compensation from E-MAP and SGA Data Using Local Search Algorithms for Max Cut	154-167	10.1007/978-3-642-20036-6_17							
Wei Li, Jianxing Feng, Tao Jiang	IsoLasso: A LASSO Regression Approach to RNA-Seq Based Transcriptome Assembly	168-188	10.1007/978-3-642-20036-6_18							
Xin Li and Jing Li	Haplotype Reconstruction in Large Pedigrees with Many Untyped Individuals	189-203	10.1007/978-3-642-20036-6_19							
Tien-ho Lin, Ziv Bar-Joseph, Robert F. Murphy	Learning Cellular Sorting Pathways Using Protein Interactions and Sequence Motifs	204-221	10.1007/978-3-642-20036-6_20							
Jeffrey W. Martin, Anthony K. Yan, Chris Bailey-Kellogg, Pei Zhou, Bruce R. Donald	A Geometric Arrangement Algorithm for Structure Determination of Symmetric Protein Homo-oligomers from NOEs and RDCs	222-237	10.1007/978-3-642-20036-6_21							
Paul Medvedev, Son Pham, Mark Chaisson, Glenn Tesler, Pavel Pevzner	Paired de Bruijn Graphs: A Novel Approach for Incorporating Mate Pair Information into Genome Assemblers	238-251	10.1007/978-3-642-20036-6_22							
Navodit Misra, Guy Blelloch, R. Ravi, Russell Schwartz	An Optimization-Based Sampling Scheme for Phylogenetic Trees	252-266	10.1007/978-3-642-20036-6_23							
Hosein Mohimani, Wei-Ting Liu, Yu-Liang Yang, Susana P. Gaudêncio, William Fenical, Pieter C. Dorrestein, Pavel A. Pevzner	Multiplex De Novo Sequencing of Peptide Antibiotics	267-281	10.1007/978-3-642-20036-6_24							
