Authors	RECOMB 2017 Paper Title (Original)	LNCS 10229 Pages	LNCS 10229 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Dan DeBlasio and John Kececioglu	Boosting Alignment Accuracy by Adaptive Local Realignment	1-17	10.1007/978-3-319-56970-3_1							
Wontack Han, Mingjie Wang, Yuzhen Ye	A Concurrent Subtractive Assembly Approach for Identification of Disease Associated Sub-metagenomes	18-33	10.1007/978-3-319-56970-3_2							
David Haussler, Maciej Smuga-Otto, Benedict Paten, Adam M. Novak, Sergei Nikitin, Maria Zueva, Dmitrii Miagkov	A Flow Procedure for the Linearization of Genome Sequence Graphs	34-49	10.1007/978-3-319-56970-3_3							
Guillaume Holley, Roland Wittler, Jens Stoye, Faraz Hach	Dynamic Alignment-Free and Reference-Free Read Compression	50-65	10.1007/978-3-319-56970-3_4							
Chirag Jain, Alexander Dilthey, Sergey Koren, Srinivas Aluru, Adam M. Phillippy	A Fast Approximate Algorithm for Mapping Long Reads to Large Reference Databases	66-81	10.1007/978-3-319-56970-3_5							
Jesper Jansson, Andrzej Lingas, Ramesh Rajaby, Wing-Kin Sung	Determining the Consistency of Resolved Triplets and Fan Triplets	82-98	10.1007/978-3-319-56970-3_6							
Uri Keich and William Stafford Noble	Progressive Calibration and Averaging for Tandem Mass Spectrometry Statistical Confidence Estimation: Why Settle for a Single Decoy?	99-116	10.1007/978-3-319-56970-3_7							
Mark J. Chaisson, Sudipto Mukherjee, Sreeram Kannan, Evan E. Eichler	Resolving Multicopy Duplications de novo Using Polyploid Phasing	117-133	10.1007/978-3-319-56970-3_8							
Robert Osazuwa Ness, Karen Sachs, Parag Mallick, Olga Vitek	A Bayesian Active Learning Experimental Design for Inferring Signaling Networks	134-156	10.1007/978-3-319-56970-3_9							
Adegoke A. Ojewole, Jonathan D. Jou, Vance G. Fowler, Bruce R. Donald	BBK* (Branch and Bound over K*): A Provable and Efficient Ensemble-Based Algorithm to Optimize Stability and Binding Affinity over Large Sequence Spaces	157-172	10.1007/978-3-319-56970-3_10							
Benedict Paten, Adam M. Novak, Erik Garrison, Glenn Hickey	Superbubbles, Ultrabubbles and Cacti	173-189	10.1007/978-3-319-56970-3_11							
Christopher Pockrandt, Marcel Ehrhardt, Knut Reinert	EPR-Dictionaries: A Practical and Fast Data Structure for Constant Time Searches in Unidirectional and Bidirectional FM Indices	190-206	10.1007/978-3-319-56970-3_12							
Elior Rahmani, Regev Schweiger, Liat Shenhav, Eleazar Eskin, Eran Halperin	A Bayesian Framework for Estimating Cell Type Composition from DNA Methylation Without the Need for Methylation Reference	207-223	10.1007/978-3-319-56970-3_13							
Ashok Rajaraman and Jian Ma	Towards Recovering Allele-Specific Cancer Genome Graphs	224-240	10.1007/978-3-319-56970-3_14							
Regev Schweiger, Eyal Fisher, Elior Rahmani, Liat Shenhav, Saharon Rosset, Eran Halperin	Using Stochastic Approximation Techniques to Efficiently Construct Confidence Intervals for Heritability	241-256	10.1007/978-3-319-56970-3_15							
Brad Solomon and Carl Kingsford	Improved Search of Large Transcriptomic Sequencing Databases Using Split Sequence Bloom Trees	257-271	10.1007/978-3-319-56970-3_16							
Chen Sun, Robert S. Harris, Rayan Chikhi, Paul Medvedev	AllSome Sequence Bloom Trees	272-286	10.1007/978-3-319-56970-3_17							
Xiaoqian Wang, Jingwen Yan, Xiaohui Yao, Sungeun Kim, Kwangsik Nho, Shannon L. Risacher, Andrew J. Saykin, Li Shen, Heng Huang, for the ADNI	Longitudinal Genotype-Phenotype Association Study via Temporal Structure Auto-learning Predictive Model	287-302	10.1007/978-3-319-56970-3_18							
Yue Wu, Farhad Hormozdiari, Jong Wha J. Joo, Eleazar Eskin	Improving Imputation Accuracy by Inferring Causal Variants in Genetic Studies	303-317	10.1007/978-3-319-56970-3_19							
Simone Zaccaria, Mohammed El-Kebir, Gunnar W. Klau, Benjamin J. Raphael	The Copy-Number Tree Mixture Deconvolution Problem and Applications to Multi-sample Bulk Sequencing Tumor Data	318-335	10.1007/978-3-319-56970-3_20							
Jingkang Zhao, Dongshunyi Li, Jungkyun Seo, Andrew S. Allen, Raluca Gordân	Quantifying the Impact of Non-coding Variants on Transcription Factor-DNA Binding	336-352	10.1007/978-3-319-56970-3_21							
Soyeon Ahn and Haris Vikalo	aBayesQR: A Bayesian Method for Reconstruction of Viral Populations Characterized by Low Diversity	353-369	10.1007/978-3-319-56970-3_22							
Phuong Dao, Yoo-Ah Kim, Sanna Madan, Roded Sharan, Teresa M. Przytycka	BeWith: A Between-Within Method for Module Discovery in Cancer using Integrated Analysis of Mutual Exclusivity, Co-occurrence and Functional Interactions	370-371	10.1007/978-3-319-56970-3							
Yuchun Guo, Kevin Tian, Haoyang Zeng, David K. Gifford	K-mer Set Memory (KSM) Motif Representation Enables Accurate Prediction of the Impact of Regulatory Variants	372-374	10.1007/978-3-319-56970-3							
Borislav H. Hristov and Mona Singh	Network-Based Coverage of Mutational Profiles Reveals Cancer Genes	375-376	10.1007/978-3-319-56970-3							
Linh Huynh and Fereydoun Hormozdiari	Ultra-Accurate Complex Disorder Prediction: Case Study of Neurodevelopmental Disorders	377-378	10.1007/978-3-319-56970-3							
Michael K.K. Leung, Andrew Delong, Brendan J. Frey	Inference of the Human Polyadenylation Code	379-379	10.1007/978-3-319-56970-3							
Zhen Li, Sheng Wang, Yizhou Yu, Jinbo Xu	Folding Membrane Proteins by Deep Transfer learning	380-382	10.1007/978-3-319-56970-3							
Yunan Luo, Xinbin Zhao, Jingtian Zhou, Jinling Yang, Yanging Zhang, Wenhua Kuang, Jian Peng, Ligong Chen, Jianyang Zeng	A Network Integration Approach for Drug-Target Interaction Prediction and Computational Drug Repositioning from Heterogeneous Information	383-384	10.1007/978-3-319-56970-3							
Dariusz Matlak and Ewa Szczurek	Epistasis in Genomic and Survival Data of Cancer Patients	385-386	10.1007/978-3-319-56970-3							
Ardalan Naseri, Xiaoming Liu, Shaojie Zhang, Degui Zhi	Ultra-Fast Identity by Descent Detection in Biobank-Scale Cohorts Using Positional Burrows-Wheeler Transform	387-388	10.1007/978-3-319-56970-3							
Yaron Orenstein, Ryan Kim, Polly Fordyce, Bonnie Berger	Joker de Bruijn: Sequence Libraries to Cover All k-mers Using Joker Characters	389-390	10.1007/978-3-319-56970-3							
Victoria Popic, Volodymyr Kuleshov, Michael Snyder, Serafim Batzoglou	GATTACA: Lightweight Metagenomic Binning Using Kmer Counting	391-392	10.1007/978-3-319-56970-3							
Shubhanshu Shekhar, Sebastien Roch, Siavash Mirarab	Species Tree Estimation Using ASTRAL: How Many Genes Are Enough?	393-395	10.1007/978-3-319-56970-3							
Alexander Shlemov, Sergey Bankevich, Andrey Bzikadze, Yana Safonova, Pavel A. Pevzner	Reconstructing Antibody Repertoires from Error-Prone Immunosequencing Datasets	396-397	10.1007/978-3-319-56970-3							
Yijie Wang, Dong-Yeon Cho, Hangnoh Lee, Brian Oliver, Teresa M. Przytycka	NetREX: Network Rewiring Using EXpression - Towards Context Specific Regulatory Networks	398-399	10.1007/978-3-319-56970-3							
Joshua D. Welch, Alexander Hartemink, Jan F. Prins	E Pluribus Unum: United States of Single Cells	400-401	10.1007/978-3-319-56970-3							
Sai Zhang, Hailin Hu, Jingtian Zhou, Xuan He, Tao Jiang, Jianyang Zeng	ROSE: A Deep Learning Based Framework for Predicting Ribosome Stalling	402-404	10.1007/978-3-319-56970-3							
