Authors	Title (RECOMB 2024 Version)	LNCS 14758 Pages	LNCS 14758 DOI	Preprint	Journal	Title (Journal version)	Journal Authors	Issue and Pages	Journal Year	Journal DOI
Kapil Devkota, Anselm Blumer, Xiaozhe Hu, Lenore Cowen	Fast Approximate IsoRank for Scalable Global Alignment of Biological Networks	1-16	10.1007/978-1-0716-3989-4_1	bioRxiv 2023.03.13.532445	Journal of Computational Biology	Approximate IsoRank for Scalable and Functionally Meaningful Cross-Species Alignments of Protein Interaction Networks		31(10):990-1007	2024	10.1089/cmb.2024.0673
Kexin Huang, Romain Lopez, Jan-Christian Hütter, Takamasa Kudo, Antonio Rios, Aviv Regev	Sequential Optimal Experimental Design of Perturbation Screens Guided by Multi-modal Priors	17-37	10.1007/978-1-0716-3989-4_2	bioRxiv 2023.12.12.571389	NONE					
Askar Gafurov, Tomáš Vinař, Paul Medvedev, Broňa Brejová	Efficient Analysis of Annotation Colocalization Accounting for Genomic Contexts	38-53	10.1007/978-1-0716-3989-4_3	bioRxiv 2023.11.22.568259	Journal of Computational Biology	Fast Context-Aware Analysis of Genome Annotation Colocalization		31(10):946-964	2024	10.1089/cmb.2024.0667
Alexander T. Leighton, Yun William Yu	Secure Federated Boolean Count Queries Using Fully-Homomorphic Cryptography	54-67	10.1007/978-1-0716-3989-4_4	bioRxiv 2021.11.10.468090						
Ali Khodabandeh Yalabadi, Mehdi Yazdani-Jahromi, Niloofar Yousefi, Aida Tayebi, Sina Abdidizaji, Ozlem Ozmen Garibay	FragXsiteDTI: Revealing Responsible Segments in Drug-Target Interaction with Transformer-Driven Interpretation	68-85	10.1007/978-1-0716-3989-4_5	 arXiv:2311.02326						
Shani Jacobson, Roded Sharan	An Integer Programming Framework for Identifying Stable Components in Asynchronous Boolean Networks	86-98	10.1007/978-1-0716-3989-4_6	NONE						
Yuxuan Du, Wenxuan Zuo, Fengzhu Sun	ImputeCC Enhances Integrative Hi-C-Based Metagenomic Binning Through Constrained Random-Walk-Based Imputation	99-114	10.1007/978-1-0716-3989-4_7	bioRxiv 2023.12.06.570492	Journal of Computational Biology	Imputing Metagenomic Hi-C Contacts Facilitates the Integrative Contig Binning Through Constrained Ra...		31(10):1008-1021	2024	10.1089/cmb.2024.0663
Yihang Shen, Lingge Yu, Yutong Qiu, Tianyu Zhang, Carl Kingsford	Graph-Based Genome Inference from Hi-C Data	115-130	10.1007/978-1-0716-3989-4_8	bioRxiv 2023.11.08.566275						
Giulio Ermanno Pibiri, Jason Fan, Rob Patro	Meta-colored Compacted de Bruijn Graphs	131-146	10.1007/978-1-0716-3989-4_9		Journal of Computational Biology	Where the Patterns Are: Repetition-Aware Compression for Colored de Bruijn Graphs		31(10):1022-1044	2024	10.1089/cmb.2024.0714
Taher Yacoub, Roy González-Alemán, Fabrice Leclerc, Isaure Chauvot de Beauchêne, Yann Ponty	Color Coding for the Fragment-Based Docking, Design and Equilibrium Statistics of Protein-Binding ssRNAs	147-163	10.1007/978-1-0716-3989-4_10							
Luca Renders, Lore Depuydt, Sven Rahmann, Jan Fostier	Automated Design of Efficient Search Schemes for Lossless Approximate Pattern Matching	164-184	10.1007/978-1-0716-3989-4_11		Journal of Computational Biology	Lossless approximate pattern matching: Automated design of efficient search schemes		31(10):975-989	2024	10.1089/cmb.2024.0664
Emaad Khwaja, Yun S. Song, Bo Huang	CELL-E: A Text-to-Image Transformer for Protein Image Prediction	185-200	10.1007/978-1-0716-3989-4_12	bioRxiv 2022.05.27.493774						
C. S. Elder, Minh Hoang, Mohsen Ferdosi, Carl Kingsford	A Scalable Optimization Algorithm for Solving the Beltway and Turnpike Problems with Uncertain Measurements	201-216	10.1007/978-1-0716-3989-4_13	bioRxiv 2024.02.15.580520	Journal of Computational Biology	Approximate and Exact Optimization Algorithms for the Beltway and Turnpike Problems with Duplicated, Missing, Partially Labeled, and Uncertain Measurements		31(10):908-926	2024	10.1089/cmb.2024.0661
Rudolf Schill, Maren Klever, Andreas Lösch, Y. Linda Hu, Stefan Vocht, Kevin Rupp, Lars Grasedyck, Rainer Spang, Niko Beerenwinkel	Overcoming Observation Bias for Cancer Progression Modeling	217-234	10.1007/978-1-0716-3989-4_14	bioRxiv 2023.12.03.569824	Journal of Computational Biology	Correcting for Observation Bias in Cancer Progression Modeling		31(10):927-945	2024	10.1089/cmb.2024.0666
Holly R. Steach, Siddharth Viswanath, Yixuan He, Xitong Zhang, Natalia Ivanova, Matthew Hirn, Michael Perlmutter, Smita Krishnaswamy	Inferring Metabolic States from Single Cell Transcriptomic Data via Geometric Deep Learning	235-252	10.1007/978-1-0716-3989-4_15	bioRxiv 2023.12.05.570153						
Spencer Krieger, John Kececioglu	Computing Robust Optimal Factories in Metabolic Reaction Networks	253-269	10.1007/978-1-0716-3989-4_16		Journal of Computational Biology	Robust Optimal Metabolic Factories		31(10):1045-1086	2024	10.1089/cmb.2024.0748
Tianshuo Zhou, Wei Yu Tang, David H. Mathews, Liang Huang	Undesignable RNA Structure Identification via Rival Structure Generation and Structure Decomposition	270-287	10.1007/978-1-0716-3989-4_17	 arXiv:2311.08339						
