#Year	1997										
#Location	Santa Fe, NM, United States										
#Dates	January 20 - 23										
#Website	https://recomb.org/recomb1997										
#PC_Chair	Michael Waterman										
#Organization_Committee	Sorin Istrail (chair), Bonnie Berger, Chris Fields, William Hart, Sylvia Spengler										
#Keynotes	Rich Roberts, Eric Lander, Robert Lipshutz, David Botstein, Sam Karlin, Martin Karplus, Jonathan King, Temple Smith, Terry Speed										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 1997 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Richa Agarwala, Serafim Batzoglou, Vlado Dančík, Scott E. Decatur, Martin Farach, Sridhar Hannenhalli, S. Muthukrishnan, Steven Skiena	Local rules for protein folding on a triangular lattice and generalized hydrophobicity in the HP model	1–2	10.1145/267521.267522	NONE		Journal of Computational Biology	Local Rules for Protein Folding on a Triangular Lattice and Generalized Hydrophobicity in the HP Model	Richa Agarwala, Serafim Batzoglou, Vlado Dančík, Scott E. Decatur, Sridhar Hannenhalli, Martin Farach-Colton, S. Muthukrishnan, Steven Skiena	4(3): 275-296	1997	10.1089/cmb.1997.4.275
Tatsuya Akutsu, Satoru Miyano	On the approximation of protein threading	3–8	10.1145/267521.267523	NONE		Theoretical Computer Science	On the approximation of protein threading	Tatsuya Akutsu, Satoru Miyano	210(2): 261-275	1999	10.1016/s0304-3975(98)00089-9
Eric L. Anson, Eugene W. Myers	ReAligner: a program for refining DNA sequence multi-alignments	9–16	10.1145/267521.267524	NONE		Journal of Computational Biology	ReAligner: A Program for Refining DNA Sequence Multi-Alignments	Eric L. Anson, Eugene W. Myers	4(3): 369-383	1997	10.1089/cmb.1997.4.369
Amir Ben-Dor, Benny Chor	On constructing radiation hybrid maps	17–26	10.1145/267521.267525	NONE		Journal of Computational Biology	On Constructing Radiation Hybrid Maps	Amir Ben‐Dor, Benny Chor	4(4): 517-533	1997	10.1089/cmb.1997.4.517
Gary Benson	Sequence alignment with tandem duplication	27–36	10.1145/267521.267526	NONE		Journal of Computational Biology	Sequence Alignment with Tandem Duplication	Gary Benson	4(3): 351-367	1997	10.1089/cmb.1997.4.351
Bonnie Berger, Mona Singh	An iterative method for improved protein structural motif recognition	37–46	10.1145/267521.267527	NONE		Journal of Computational Biology	An Iterative Method for Improved Protein Structural Motif Recognition	Bonnie Berger, Mona Singh	4(3): 261-273	1997	10.1089/cmb.1997.4.261
Erich Bornberg-Bauer	Chain growth algorithms for HP-type lattice proteins	47–55	10.1145/267521.267528	NONE		NONE	NA	NA	NA	NA	NA
J. Richard Bradley, Steven S. Skiena	Fabricating arrays of strings	57–66	10.1145/267521.267529	NONE		NONE	NA	NA	NA	NA	NA
Weiping Cai, Anne E. Condon, Robert M. Corn, Elton Glaser, Zhengdong Fei, Tony Frutos, Zhen Guo, Max G. Lagally, Qinghua Liu, Lloyd M. Smith, Andrew Thiel	The power of surface-based DNA computation	67–74	10.1145/267521.267530	NONE		NONE	NA	NA	NA	NA	NA
Alberto Caprara	Sorting by reversals is difficult	75–83	10.1145/267521.267531	NONE		NONE	NA	NA	NA	NA	NA
Thomas Christof, Michael Jünger, John Kececioglu, Petra Mutzel, Gerhard Reinelt	A branch-and-cut approach to physical mapping with end-probes	84–92	10.1145/267521.267532	NONE		Journal of Computational Biology	A Branch-and-Cut Approach to Physical Mapping of Chromosomes by Unique End-Probes	Thomas Christof, Michael Jünger, John Kececioglu, Petra Mutzel, Gerhard Reinelt	4(4): 433-447	1997	10.1089/cmb.1997.4.433
Gary A. Churchill	Monte Carlo sequence alignment	93–97	10.1145/267521.267534	NONE		NONE	NA	NA	NA	NA	NA
Jaime Cohen, Martin Farach	Numerical taxonomy on data: experimental results	98	10.1145/267521.267535	NONE		Journal of Computational Biology	Numerical Taxonomy on Data: Experimental Results	Jaime Cohen, Martı́n Farach-Colton	4(4): 547-558	1997	10.1089/cmb.1997.4.547
B. DasGupta, T. Jiang, S. Kannan, M. Li, Z. Sweedyk	On the complexity and approximation of syntenic distance	99–108	10.1145/267521.267536	NONE		Discrete Applied Mathematics	On the complexity and approximation of syntenic distance	Bhaskar Dasgupta, Tao Jiang, Sampath Kannan, Ming Li, Elizabeth Sweedyk	88(1-3): 59-82	1998	10.1016/s0166-218x(98)00066-3
Ken A. Dill, Andrew T. Phillips, J. Ben Rosen	Protein structure prediction and potential energy landscape analysis using continuous global minimization	109–117	10.1145/267521.267537	NONE		Journal of Computational Biology	Protein Structure and Energy Landscape Dependence on Sequence Using a Continuous Energy Function	Ken A. Dill, Andrew T. Phillips, J. Ben Rosen	4(3): 227-239	1997	10.1089/cmb.1997.4.227
Daniel P. Fasulo, Tao Jiang, Richard M. Karp, Reuben Settergren, Edward C. Thayer	An algorithmic approach to multiple complete digest mapping	118–127	10.1145/267521.267538	NONE		Journal of Computational Biology	An Algorithmic Approach to Multiple Complete Digest Mapping	Daniel Fasulo, Tao Jiang, Richard M. Karp, Reuben Settergren, Edward C. Thayer	6(2): 187-207	1999	10.1089/cmb.1999.6.187
William E. Hart	On the computational complexity of sequence design problems	128–136	10.1145/267521.267539	NONE		NONE					
