#Year	1998										
#Location	New York, NY, United States										
#Dates	March 22 - 25										
#Website	https://recomb.org/recomb1998										
#PC_Chair	Pavel Pevzner										
#Organization_Committee	Gary Benson (chair), Craig Benham, Martin Farach, Eugene Kolker										
#Keynotes	Ruben Abagyan, Charles Cantor, David Cox, Ron Davis, Klaus Gubernator, Joshua Lederberg, Michael Levitt, David Schwartz, John Yates										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 1998 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Pankaj Agarwal, Vineet Bafna	Detecting non-adjoining correlations with signals in DNA	2–8	10.1145/279069.279076	NONE		NONE	NA	NA	NA	NA	NA
Amir Ben-Dor, Benny Chor, Dan Graur, Ron Ophir, Dan Pelleg	From four-taxon trees to phylogenies (preliminary report): the case of mammalian evolution	9–19	10.1145/279069.279078	NONE		Journal of Computational Biology	Constructing Phylogenies from Quartets: Elucidation of Eutherian Superordinal Relationships	Amir Ben‐Dor, Benny Chor, Dan Graur, Ron Ophir, Dan Pelleg	5(3): 377-390	1998	10.1089/cmb.1998.5.377
Gary Benson	An algorithm for finding tandem repeats of unspecified pattern size	20–29	10.1145/279069.279079	NONE		NONE	NA	NA	NA	NA	NA
Bonnie Berger, Tom Leighton	Protein folding in the hydrophobic-hydrophilic (HP) is NP-complete	30–39	10.1145/279069.279080	NONE		Journal of Computational Biology	Protein Folding in the Hydrophobic-Hydrophilic (HP) Model is NP-Complete	Bonnie Berger, Tom Leighton	5(1): 27-40	1998	10.1089/cmb.1998.5.27
Maria Bonet, Mike Steel, Tandy Warnow, Shibu Yooseph	Better methods for solving parsimony and compatibility	40–49	10.1145/279069.279081	NONE		Journal of Computational Biology	Better Methods for Solving Parsimony and Compatibility	Maria Bonet, Mike Steel, Tandy Warnow, Shibu Yooseph	5(3): 391-407	1998	10.1089/cmb.1998.5.391
Cheng Che Chen, Jaswinder Pal Singh, Russ B. Altman	The hierarchical organization of molecular structure computations	51–59	10.1145/279069.279086	NONE		Journal of Computational Biology	Hierarchical Organization of Molecular Structure Computations	Cheng Che Chen, Jaswinder Pal Singh, Russ B. Altman	5(3): 409-422	1998	10.1089/cmb.1998.5.409
Pierluigi Crescenzi, Deborah Goldman, Christos Papadimitriou, Antonio Piccolboni, Mihalis Yannakakis	On the complexity of protein folding	61–62	10.1145/279069.279089	NONE		Journal of Computational Biology	On the Complexity of Protein Folding	Pierluigi Crescenzi, Deborah Goldman, Christos Papadimitriou, Antonio Piccolboni, Mihalis Yannakakis	5(3): 423-465	1998	10.1089/cmb.1998.5.423
Dan Fasulo, Tao Jiang, Richard M. Karp, Nitin Sharma	Constructing maps using the span and inclusion relations	64–73	10.1145/279069.279090	NONE		NONE	NA	NA	NA	NA	NA
Alexei V. Finkelstein, Azat Ya. Badretdinov	How fast a protein chain can fold to its most stable structure?	74–78	10.1145/279069.279091	NONE		NONE	NA	NA	NA	NA	NA
Richard M. Fye, Craig J. Benhan	A formally exact method to numerically analyze local denaturation in superhelical DNA	79–84	10.1145/279069.279093	NONE		Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics	Exact method for numerically analyzing a model of local denaturation in superhelically stressed DNA	Richard M. Fye, Craig J. Benhan	59(3): 3408-3426	1999	10.1103/physreve.59.3408
