#Year	2000										
#Location	Tokyo, Japan										
#Dates	April 8 - 11										
#Website	https://recomb.org/recomb2000										
#PC_Chair	Ron Shamir										
#Organization_Committee	Satoru Miyano (chair), Tatsuya Akutsu, Nir Friedman, Osamu Maruyama, Kenta Nakai, Asako Suzuki, Toshihisa Takagi, Ayako Tomiyasu										
#Keynotes	Minoru Kanehisa, Hans Lehrach, Svante Paabo, Eric Davidson, Takashi Gojobori, Leroy Hood, Walter Gilbert, Yusuke Nakamura										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2000 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Tatsuya Akutsu, Hiroki Arimura, Shinichi Shimozono	On approximation algorithms for local multiple alignment	1–7	10.1145/332306.332311	NONE		NONE	NA	NA	NA	NA	NA
Tatsuya Akutsu, Satoru Miyano, Satoru Kuhara	Algorithms for identifying Boolean networks and related biological networks based on matrix multiplication and fingerprint function	8–14	10.1145/332306.332317	NONE		Journal of Computational Biology	Algorithms for Identifying Boolean Networks and Related Biological Networks Based on Matrix Multiplication and Fingerprint Function	Tatsuya Akutsu, Satoru Miyano, Satoru Kuhara	7(3-4): 331-343	2000	10.1089/106652700750050817
E. Althaus, O. Kohlbacher, H.-P. Lenhof, P. Müller	A combinatorial approach to protein docking with flexible side-chains	15–24	10.1145/332306.332319	NONE		Journal of Computational Biology	A Combinatorial Approach to Protein Docking with Flexible Side Chains	Ernst Althaus, Oliver Kohlbacher, Hans‐Peter Lenhof, Peter Müller	535(4): 15-24	2000	10.1089/106652702760277336
Alberto Apostolico, Gill Bejerano	Optimal amnesic probabilistic automata or how to learn and classify proteins in linear time and space	25–32	10.1145/332306.332321	NONE		Journal of Computational Biology	Optimal Amnesic Probabilistic Automata or How to Learn and Classify Proteins in Linear Time and Space	Alberto Apostolico, Gill Bejerano	7(3-4): 381-393	2000	10.1089/106652700750050844
Chris Bailey-Kellogg, Alik Widge, John J. Kelley, Marcelo J. Berardi, John H. Bushweller, Bruce Randall Donald	The NOESY jigsaw: automated protein secondary structure and main-chain assignment from sparse, unassigned NMR data	33–44	10.1145/332306.332323	NONE		Journal of Computational Biology	The NOESY Jigsaw: Automated Protein Secondary Structure and Main-Chain Assignment from Sparse, Unassigned NMR Data	Chris Bailey‐Kellogg, Alik S. Widge, John J. Kelley, Marcelo J. Berardi, John H. Bushweller, Bruce R. Donald	7(3-4): 537-558	2000	10.1089/106652700750050934
Serafim Batzoglou, Bonnie Berger, Jill Mesirov, Eric S. Lander	Sequencing a genome by walking with clone-end sequences: a mathematical analysis	45	10.1145/332306.332325	NONE		Genome Research	Sequencing a Genome by Walking with Clone-End Sequences: A Mathematical Analysis	Serafim Batzoglou, Bonnie Berger, Jill P. Mesirov, Eric S. Lander	9(12): 1163-1174	1999	10.1101/gr.9.12.1163
Serafim Batzoglou, Lior Pachter, Jill Mesirov, Bonnie Berger, Eric S. Lander	Human and mouse gene structure: comparative analysis and application to exon prediction	46–53	10.1145/332306.332326	NONE		Genome Research	Human and Mouse Gene Structure: Comparative Analysis and Application to Exon Prediction	Serafim Batzoglou, Lior Pachter, Jill P. Mesirov, Bonnie Berger, Eric S. Lander	10(7): 950-958	2000	10.1101/gr.10.7.950
Amir Ben-Dor, Laurakay Bruhn, Nir Friedman, Iftach Nachman, Michèel Schummer, Zohar Yakhini	Tissue classification with gene expression profiles	54–64	10.1145/332306.332328	NONE		Journal of Computational Biology	Tissue Classification with Gene Expression Profiles	Amir Ben‐Dor, Laurakay Bruhn, Nir Friedman, Iftach Nachman, Michèl Schummer, Zohar Yakhini	7(3-4): 559-583	2000	10.1089/106652700750050943
Amir Ben-Dor, Richard Karp, Benno Schwikowski, Zohar Yakhini	Universal DNA tag systems: a combinatorial design scheme	65–75	10.1145/332306.332346	NONE		Journal of Computational Biology	Universal DNA Tag Systems: A Combinatorial Design Scheme	Amir Ben‐Dor, Richard M. Karp, Benno Schwikowski, Zohar Yakhini	7(3-4): 503-519	2000	10.1089/106652700750050916
Jadwiga R. Bieńkowska, Lihua Yu, Sophia Zarakhovich, Robert G. Rogers, Temple F. Smith	Comprehensive statistical method for protein fold recognition	76–85	10.1145/332306.332347	NONE		NONE	NA	NA	NA	NA	NA
Ralf Bundschuh	An analytic approach to significance assessment in local sequence alignment with gaps	86–95	10.1145/332306.332350	NONE		Journal of Computational Biology	Rapid Significance Estimation in Local Sequence Alignment with Gaps	Ralf Bundschuh	9(2): 243-260	2002	10.1089/10665270252935449
Kevin Chen, Dannie Durand, Martin Farach-Colton	Notung: dating gene duplications using gene family trees	96–106	10.1145/332306.332351	NONE		Journal of Computational Biology	NOTUNG: A Program for Dating Gene Duplications and Optimizing Gene Family Trees	Kevin Chen, Dannie Durand, Martı́n Farach-Colton	7(3-4): 429-447	2000	10.1089/106652700750050871
Xin Chen, Sam Kwong, Ming Li	A compression algorithm for DNA sequences and its applications in genome comparison	107	10.1145/332306.332352	NONE		NONE	NA	NA	NA	NA	NA
Benny Chor, Michael D. Hendy, Barbara R. Holland, David Penny	Multiple maxima of likelihood in phylogenetic trees: an analytic approach	108–117	10.1145/332306.332353	NONE		Molecular Biology and Evolution	Multiple Maxima of Likelihood in Phylogenetic Trees: An Analytic Approach	Benny Chor, Michael D. Hendy, Barbara R. Holland, David Penny	17(10): 1529-1541	2000	10.1093/oxfordjournals.molbev.a026252
Richard Desper, Martin Vingron	Tree fitting: an algebraic approach using profile distances	119–126	10.1145/332306.332354	NONE		NONE	NA	NA	NA	NA	NA
