#Year	2001										
#Location	Montreal, Canada										
#Dates	April 21 - 25										
#Website	https://recomb.org/recomb2001										
#PC_Chair	Thomas Lengauer										
#Organization_Committee	David Sankoff (chair), Nadia El-Mabrouk, Michael Hallett, François Major, Thomas Hagedorn, Theo Mevissen, Louis Pelletier, Ralf Zimmer										
#Keynotes	George Church, Phillip Sharp, Mark Adams, Roger Brent, Franz Lang, Klaus Lindpaintner, Yvonne Martin, Mark Ptashne, Matthias Wilm										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2001 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Abdullah N. Arslan, Ömer Eğecioğlu, Pavel A. Pevzner	A new approach to sequence comparison: normalized sequence alignment	2–11	10.1145/369133.369146	NONE		Bioinformatics	A new approach to sequence comparison: normalized sequence alignment	Abdullah N. Arslan, Ömer Eğeci̇oğlu, Pavel A. Pevzner	17(4): 327-337	2001	10.1093/bioinformatics/17.4.327
Yoseph Barash, Nir Friedman	Context-specific Bayesian clustering for gene expression data	12–21	10.1145/369133.369150	NONE		Journal of Computational Biology	Context-Specific Bayesian Clustering for Gene Expression Data	Yoseph Barash, Nir Friedman	9(2): 169-191	2002	10.1089/10665270252935403
Richard Beigel, Noga Alon, Simon Kasif, Mehmet Serkan Apaydin, Lance Fortnow	An optimal procedure for gap closing in whole genome shotgun sequencing	22–30	10.1145/369133.369152	NONE		NONE	NA	NA	NA	NA	NA
Amir Ben-Dor, Nir Friedman, Zohar Yakhini	Class discovery in gene expression data	31–38	10.1145/369133.369167	NONE		Nature Genetics	Statistical benchmarking and class discovery in gene expression data	Amir Ben‐Dor, Nir Friedman, Zohar Yakhini	27(S4): 96	2001	10.1038/87368
Yonatan Bilu, Michal Linial	On the predictive power of sequence similarity in yeast	39–48	10.1145/369133.369168	NONE		NONE	NA	NA	NA	NA	NA
Mathieu Blanchette	Algorithms for phylogenetic footprinting	49–58	10.1145/369133.369170	NONE		Journal of Computational Biology	Algorithms for Phylogenetic Footprinting	Mathieu Blanchette, Benno Schwikowski, Martin Tompa	9(2): 211-223	2002	10.1089/10665270252935421
Phil Bradley, Lenore Cowen, Matthew Menke, Jonathan King, Bonnie Berger	Predicting the β-helix fold from protein sequence data	59–67	10.1145/369133.369171	NONE		Journal of Computational Biology	Predicting the Beta-Helix Fold from Protein Sequence Data	Lenore Cowen, Phil Bradley, Matthew Menke, Jonathan King, Bonnie Berger	9(2): 261-276	2002	10.1089/10665270252935458
Jeremy Buhler, Martin Tompa	Finding motifs using random projections	69–76	10.1145/369133.369172	NONE		Journal of Computational Biology	Finding Motifs Using Random Projections	Jeremy Buhler, Martin Tompa	9(2): 225-242	2002	10.1089/10665270252935430
Ralf Bundschuh	Rapid significance estimation in local sequence alignment with gaps	77–85	10.1145/369133.369173	NONE		Journal of Computational Biology	Rapid Significance Estimation in Local Sequence Alignment with Gaps	Ralf Bundschuh	9(2): 243-260	2002	10.1089/10665270252935449
Harmen J. Bussemaker, Hao Li, Eric D. Siggia	Regulatory element detection using correlation with expression	86	10.1145/369133.369174	NONE		Nature Genetics	Regulatory element detection using correlation with expression	Harmen J. Bussemaker, Hao Li, Eric D. Siggia	27(2): 167-171	2001	10.1038/84792
Ting Chen	Gene-finding via tandem mass spectrometry	87–94	10.1145/369133.369176	NONE		NONE	NA	NA	NA	NA	NA
Ting Chen, Jacob D. Jaffe, George M. Church	Algorithms for identifying protein cross-links via tandem mass spectrometry	95–102	10.1145/369133.369177	NONE		Journal of Computational Biology	Algorithms for Identifying Protein Cross-Links via Tandem Mass Spectrometry	Ting Chen, Jacob D. Jaffe, George M. Church	8(6): 571-583	2001	10.1089/106652701753307494
Miklós Csűrös	Fast recovery of evolutionary trees with thousands of nodes	104–113	10.1145/369133.369178	NONE		Journal of Computational Biology	Fast Recovery of Evolutionary Trees with Thousands of Nodes	Miklós Csürös	9(2): 277-297	2002	10.1089/10665270252935467
Alon Efrat, Frank Hoffman, Klaus Kriegel, Christof Schultz, Carola Wenk	Geometric algorithms for the analysis of 2D-electrophoresis gels	114–123	10.1145/369133.369181	NONE		Journal of Computational Biology	Geometric Algorithms for the Analysis of 2D-Electrophoresis Gels	Alon Efrat, Frank Hoffmann, Klaus Kriegel, Christof Schultz, Carola Wenk	9(2): 299-315	2002	10.1089/10665270252935476
Vladimir Filkov, Steven Skiena, Jizu Zhi	Analysis techniques for microarray time-series data	124–131	10.1145/369133.369183	NONE		Journal of Computational Biology	Analysis Techniques for Microarray Time-Series Data	Vladimir Filkov, Steven Skiena, Jizu Zhi	9(2): 317-330	2002	10.1089/10665270252935485
Nir Friedman, Matan Ninio, Itsik Pe'er, Tal Pupko	A structural EM algorithm for phylogenetic inference	132–140	10.1145/369133.369182	NONE		Journal of Computational Biology	A Structural EM Algorithm for Phylogenetic Inference	Nir Friedman, Matan Ninio, Itsik Pe’er, Tal Pupko	9(2): 331-353	2002	10.1089/10665270252935494
