#Year	2002										
#Location	Washington, DC, United States										
#Dates	April 18 - 21										
#Website	https://recomb.org/recomb2002										
#PC_Chair	Gene Myers										
#Organization_Committee	Sridhar Hannenhalli (chair), Kathy Ambrose, Liliana Florea, George Komatsoulis, Jason Miller, Morgan Park, Michelle Perry, Russell Schwartz, Brian Walenz										
#Keynotes	Ruben Abagyan, Ali Brivanlou, Evan Eichler, Harold Garner, David Ho, Gerry Rubin, Craig Venter, Marc Vidal										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2002 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Nancy M. Amato, Ken A. Dill, Guang Song	Using motion planning to map protein folding landscapes and analyze folding kinetics of known native structures	2–11	10.1145/565196.565198	NONE		Journal of Computational Biology	Using Motion Planning to Map Protein Folding Landscapes and Analyze Folding Kinetics of Known Native Structures	Nancy M. Amato, Ken A. Dill, Guang Song	10(3-4): 239-255	2003	10.1089/10665270360688002
Mehmet Serkan Apaydin, Douglas L. Brutlag, Carlos Guestrin, David Hsu, Jean-Claude Latombe	Stochastic roadmap simulation: an efficient representation and algorithm for analyzing molecular motion	12–21	10.1145/565196.565199	NONE		Journal of Computational Biology	Stochastic Roadmap Simulation: An Efficient Representation and Algorithm for Analyzing Molecular Motion	Mehmet Serkan Apaydın, Douglas L. Brutlag, Carlos Guestrin, David Hsu, Jean‐Claude Latombe, Chris Varma	10(3-4): 257-281	2003	10.1089/10665270360688011
Alberto Apostolico, Mary Ellen Bock, Stefano Lonardi	Monotony of surprise and large-scale quest for unusual words	22–31	10.1145/565196.565200	NONE		Journal of Computational Biology	Monotony of Surprise and Large-Scale Quest for Unusual Words	Alberto Apostolico, Mary Ellen Bock, Stefano Lonardi	10(3-4): 283-311	2003	10.1089/10665270360688020
Peter F. Arndt, Christopher B. Burge, Terence Hwa	DNA sequence evolution with neighbor-dependent mutation	32–38	10.1145/565196.565201	NONE		Journal of Computational Biology	DNA Sequence Evolution with Neighbor-Dependent Mutation	Peter F. Arndt, Christopher B. Burge, Terence Hwa	10(3-4): 313-322	2003	10.1089/10665270360688039
Ziv Bar-Joseph, Georg Gerber, David K. Gifford, Tommi S. Jaakkola, Itamar Simon	A new approach to analyzing gene expression time series data	39–48	10.1145/565196.565202	NONE		NONE					
Amir Ben-Dor, Benny Chor, Richard Karp, Zohar Yakhini	Discovering local structure in gene expression data: the order-preserving submatrix problem	49–57	10.1145/565196.565203	NONE		Journal of Computational Biology	Discovering Local Structure in Gene Expression Data: The Order-Preserving Submatrix Problem	Amir Ben‐Dor, Benny Chor, Richard M. Karp, Zohar Yakhini	10(3-4): 373-384	2003	10.1089/10665270360688075
Amir Ben-Dor, Richard M. Karp, Benno Schwikowski, Ron Shamir	The restriction scaffold problem	58–66	10.1145/565196.565204	NONE		Journal of Computational Biology	The Restriction Scaffold Problem	Amir Ben‐Dor, Richard M. Karp, Benno Schwikowski, Ron Shamir	10(3-4): 385-398	2003	10.1089/10665270360688084
Sèverine Bérard, Éric Rivals	Comparison of minisatellites	67–76	10.1145/565196.565205	NONE		Journal of Computational Biology	Comparison of Minisatellites	Sèverine Bérard, Éric Rivals	10(3-4): 357-372	2003	10.1089/10665270360688066
Phil Bradley, Peter S. Kim, Bonnie Berger	Trilogy: discovery of sequence-structure patterns across diverse proteins	77–88	10.1145/565196.565206	NONE		Proceedings of the National Academy of Sciences	trilogy : Discovery of sequence–structure patterns across diverse proteins	Philip Bradley, Peter S. Kim, Bonnie Berger	99(13): 8500-8505	2002	10.1073/pnas.112221999
Jeremy Buhler	Provably sensitive Indexing strategies for biosequence similarity search	90–99	10.1145/565196.565208	NONE		Journal of Computational Biology	Provably Sensitive Indexing Strategies for Biosequence Similarity Search	Jeremy Buhler	10(3-4): 399-417	2003	10.1089/10665270360688093
Alberto Caprara, Giuseppe Lancia	Structural alignment of large-size proteins via lagrangian relaxation	100–108	10.1145/565196.565209	NONE		NONE	NA	NA	NA	NA	NA
Barry Cohen, Steven Skiena	Designing RNA structures: natural and artificial selection	109–116	10.1145/565196.565210	NONE		NONE	NA	NA	NA	NA	NA
Minghua Deng, Shipra Mehta, Fengzhu Sun, Ting Chen	Inferring domain-domain interactions from protein-protein interactions	117–126	10.1145/565196.565211	NONE		Genome Research	Inferring Domain–Domain Interactions From Protein–Protein Interactions	Minghua Deng, Shipra Mehta, Fengzhu Sun, Ting Chen	12(10): 1540-1548	2002	10.1101/gr.153002
Chris H. Q. Ding	Analysis of gene expression profiles: class discovery and leaf ordering	127–136	10.1145/565196.565212	NONE		NONE	NA	NA	NA	NA	NA
