#Year	2003										
#Location	Berlin, Germany										
#Dates	April 10 - 14										
#Website	https://recomb.org/recomb2003										
#PC_Chair	Webb Miller										
#Organization_Committee	Martin Vingron (chair), Patricia Béziat, Alexander Schliep, Rainer Spang, Thomas Steinke										
#Keynotes	Edward Trifonov, Christiane Nüsslein-Volhard, Árpád Furka, Andrew Clark, David Haussler, Arthur Lesk, Dieter Oesterhelt, Terry Speed, Kari Stefansson										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2003 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Tatsuya Akutsu	Efficient extraction of mapping rules of atoms from enzymatic reaction data	1–8	10.1145/640075.640076	NONE		Journal of Computational Biology	Efficient Extraction of Mapping Rules of Atoms from Enzymatic Reaction Data	Tatsuya Akutsu	11(2-3): 449-462	2004	10.1089/1066527041410337
Vineet Bafna, Nathan Edwards	On de novo interpretation of tandem mass spectra for peptide identification	9–18	10.1145/640075.640077	NONE		NONE	NA	NA	NA	NA	NA
Vineet Bafna, Bjarni V. Halldorsson, Russell Schwartz, Andrew G. Clark, Sorin Istrail	Haplotypes and informative SNP selection algorithms: don't block out information	19–27	10.1145/640075.640078	NONE		NONE	NA	NA	NA	NA	NA
Yoseph Barash, Gal Elidan, Nir Friedman, Tommy Kaplan	Modeling dependencies in protein-DNA binding sites	28–37	10.1145/640075.640079	NONE		NONE	NA	NA	NA	NA	NA
Gill Bejerano	Efficient exact value computation and applications to biosequence analysis	38–47	10.1145/640075.640080	NONE		NONE	NA	NA	NA	NA	NA
Amir Ben-Dor, Tzvika Hartman, Benno Schwikowski, Roded Sharan, Zohar Yakhini	Towards optimally multiplexed applications of universal DNA tag systems	48–56	10.1145/640075.640081	NONE		Journal of Computational Biology	Towards Optimally Multiplexed Applications of Universal Arrays	Amir Ben‐Dor, Tzvika Hartman, Richard M. Karp, Benno Schwikowski, Roded Sharan, Zohar Yakhini	11(2-3): 476-492	2004	10.1089/1066527041410373
Mathieu Blanchette	A comparative analysis method for detecting binding sites in coding regions	57–66	10.1145/640075.640082	NONE		NONE					
Jeremy Buhler, Uri Keich, Yanni Sun	Designing seeds for similarity search in genomic DNA	67–75	10.1145/640075.640083	NONE		Journal of Computer and System Sciences	Designing seeds for similarity search in genomic DNA	Jeremy Buhler, Uri Keich, Yanni Sun	70(3): 342-363	2005	10.1016/j.jcss.2004.12.003
Benny Chor, Amit Khetan, Sagi Snir	Maximum likelihood on four taxa phylogenetic trees: analytic solutions	76–83	10.1145/640075.640084	NONE		Molecular Biology and Evolution	Maximum Likelihood Jukes-Cantor Triplets: Analytic Solutions	Benny Chor, Michael D. Hendy, Sagi Snir	23(3): 626-632	2005	10.1093/molbev/msj069
Derek Y. Chiang, Alan M. Moses, Manolis Kamvysselis, Eric S. Lander, Michael B. Eisen	Phylogenetically and spatially conserved word pairs associated with gene expression changes in yeasts	84–93	10.1145/640075.640085	NONE		Genome Biology	Phylogenetically and spatially conserved word pairs associated with gene-expression changes in yeasts	Derek Y. Chiang, Alan M Moses, Manolis Kellis, Eric S. Lander, Michael B. Eisen	4(7): R43	2003	10.1186/gb-2003-4-7-r43
Minghua Deng, Ting Chen, Fengzhu Sun	An integrated probabilistic model for functional prediction of proteins	95–103	10.1145/640075.640087	NONE		Journal of Computational Biology	An Integrated Probabilistic Model for Functional Prediction of Proteins	Minghua Deng, Ting Chen, Fengzhu Sun	11(2-3): 463-475	2004	10.1089/1066527041410346
Eleazar Eskin, Eran Halperin, Richard M. Karp	Large scale reconstruction of haplotypes from genotype data	104–113	10.1145/640075.640088	NONE		Bioinformatics	Haplotype reconstruction from genotype data using Imperfect Phylogeny	Eran Halperin, Eleazar Eskin	20(12): 1842-1849	2004	10.1093/bioinformatics/bth149
Ma'ayan Fishelson, Dan Geiger	Optimizing exact genetic linkage computations	114–121	10.1145/640075.640089	NONE		Journal of Computational Biology	Optimizing Exact Genetic Linkage Computations	M. Fishelson, Dan Geiger	11(2-3): 263-275	2004	10.1089/1066527041410409
Aristides Gionis, Heikki Mannila	Finding recurrent sources in sequences	123–130	10.1145/640075.640091	NONE		NONE	NA	NA	NA	NA	NA
Gideon Greenspan, Dan Geiger	Model-based inference of haplotype block variation	131–137	10.1145/640075.640092	NONE		Journal of Computational Biology	Model-Based Inference of Haplotype Block Variation	Gideon Greenspan, Dan Geiger	11(2-3): 493-504	2004	10.1089/1066527041410300
