#Year	2004										
#Location	San Diego, CA, United States										
#Dates	March 27 - 31										
#Website	https://recomb.org/recomb2004										
#PC_Chair	Dan Gusfield										
#Organization_Committee	Philip E. Bourne (chair), Kristine Briedis, Apostol Gramada, Stephanie Hagstrom, Nancy Jensen, Dana Jermanis, Chris Smith, Peggy Wagner										
#Keynotes	Carlos D. Bustamante, Russell Doolittle, Andrew Fire, Richard Karp, William McGinnis, Deborah Nickerson, Martin Nowak, Christine Orengo, Elizabeth Winzeler										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2004 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Gad Kimmel, Ron Shamir	Maximum likelihood resolution of multi-block genotypes	2–9	10.1145/974614.974616	NONE		Proc Natl Acad Sci USA	GERBIL: genotype resolution and block identification using likelihood	Gad Kimmel, Ron Shamir	102 (1) 158-162	2005	10.1073/pnas.0404730102
Eran Halperin, Richard M. Karp	Perfect phylogeny and haplotype assignment	10–19	10.1145/974614.974617	NONE		NONE					
Jing Li, Tao Jiang	An exact solution for finding minimum recombinant haplotype configurations on pedigrees with missing data by integer linear programming	20–29	10.1145/974614.974618	NONE		Journal of Computational Biology	Computing the minimum recombinant haplotype configuration from incomplete genotype data on a pedigree by integer linear programming	Jing Li, Tao Jiang	12(6): 719-739	2005	10.1089/cmb.2005.12.719
David Sankoff, Phil Trinh	Chromosomal breakpoint re-use in the inference of genome sequence rearrangement	30–35	10.1145/974614.974619	NONE		Journal of Computational Biology	Chromosomal breakpoint reuse in genome sequence rearrangement	David Sankoff, Phil Trinh	12(6): 812-821	2005	10.1089/cmb.2005.12.812
Niko Beerenwinkel, Jörg Rahnenführer, Martin Däumer, Daniel Hoffmann, Rolf Kaiser, Joachim Selbig, Thomas Lengauer	Learning multiple evolutionary pathways from cross-sectional data	36–44	10.1145/974614.974620	NONE		Journal of Computational Biology	Learning multiple evolutionary pathways from cross-sectional data	Niko Beerenwinkel, Jörg Rahnenführer, Martin Däumer, Daniel Hoffmann, Rolf Kaiser, Joachim Selbig, Thomas Lengauer	12(6): 584-598	2005	10.1089/cmb.2005.12.584
Ryan H. Lilien, Brian W. Stevens, Amy C. Anderson, Bruce R. Donald	A novel ensemble-based scoring and search algorithm for protein redesign, and its application to modify the substrate specificity of the gramicidin synthetase A phenylalanine adenylation enzyme	46–57	10.1145/974614.974622	NONE		Journal of Computational Biology	A Novel Ensemble-Based Scoring and Search Algorithm for Protein Redesign and Its Application to Modify the Substrate Specificity of the Gramicidin Synthetase A Phenylalanine Adenylation Enzyme	Ryan Lilien, Brian W. Stevens, Amy C. Anderson, Bruce R. Donald	12(6): 740-761	2005	10.1089/cmb.2005.12.740
Chris Bailey-Kellogg, Sheetal Chainraj, Gopal Pandurangan	A random graph approach to NMR sequential assignment	58–67	10.1145/974614.974623	NONE		Journal of Computational Biology	A random graph approach to NMR sequential assignment	Chris Bailey-Kellogg, Sheetal Chainraj, Gopal Pandurangan	12(6): 569–583	2005	10.1089/cmb.2005.12.569
Xiaoyue Zhao, Haiyan Huang, Terence P. Speed	Finding short DNA motifs using permuted markov models	68–75	10.1145/974614.974624	NONE		Journal of Computational Biology	Finding Short DNA Motifs Using Permuted Markov Models	Xiaoyue Zhao, Haiyan Huang, Terence P. Speed	12(6): 894-906	2005	10.1089/cmb.2005.12.894
Yanni Sun, Jeremy Buhler	Designing multiple simultaneous seeds for DNA similarity search	76–84	10.1145/974614.974625	NONE		Journal of Computational Biology	Designing Multiple Simultaneous Seeds for DNA Similarity Search	Yanni Sun, Jeremy Buhler	12(6): 847-861	2005	10.1089/cmb.2005.12.847
John Kececioglu, Dean Starrett	Aligning alignments exactly	85–96	10.1145/974614.974626	NONE		NONE					
Zhijin Wu, Rafael A. Irizarry	Stochastic models inspired by hybridization theory for short oligonucleotide arrays	98–106	10.1145/974614.974628	NONE		Journal of Computational Biology	Stochastic Models Inspired by Hybridization Theory for Short Oligonucleotide Arrays	Zhijin Wu, Rafael A. Irizarry	12(6): 882-893	2005	10.1089/cmb.2005.12.882
Sabrina Ledent, Stéphane Robin	Checking homogeneity of motifs' distribution in heterogenous sequences	107–114	10.1145/974614.974629	NONE		Journal of Computational Biology	Checking Homogeneity of Motifs' Distribution in Heterogenous Sequences	Sabrina Ledent, Stéphane Robin	12(6): 672-685	2005	10.1089/cmb.2005.12.672
Eleazar Eskin	From profiles to patterns and back again: a branch and bound algorithm for finding near optimal motif profiles	115–124	10.1145/974614.974630	NONE		NONE	NA	NA	NA	NA	NA
Francis Y. L. Chin, Henry C. M. Leung, S. M. Yiu, T. W. Lam, Roni Rosenfeld, W. W. Tsang, David K. Smith, Y. Jiang	Finding motifs for insufficient number of sequences with strong binding to transcription facto	125–132	10.1145/974614.974631	NONE		Journal of Computational Biology	Finding Motifs with Insufficient Number of Strong Binding Sites	Henry C. M. Leung, Francis Y. L. Chin, SM Yiu, Roni Rosenfeld, W.W. Tsang	12(6): 686-701	2005	10.1089/cmb.2005.12.686
Alberto Policriti, Nicola Vitacolonna, Michele Morgante, Andrea Zuccolo	Structured motifs search	133–139	10.1145/974614.974632	NONE		Journal of Computational Biology	Structured Motifs Search	Michele Morgante, Alberto Policriti, Nicola Vitacolonna, Andrea Zuccolo	12(8): 1065-1082	2005	10.1089/cmb.2005.12.1065
Eran Segal, Roded Sharan	A discriminative model for identifying spatial cis-regulatory modules	141–149	10.1145/974614.974634	NONE		Journal of Computational Biology	A Discriminative Model for Identifying Spatial cis-Regulatory Modules	Eran Segal, Roded Sharan	12(6): 822-834	2005	10.1089/cmb.2005.12.822
Martin Farach-Colton, Yang Huang, John L. L. Woolford	Discovering temporal relations in molecular pathways using protein-protein interactions	150–156	10.1145/974614.974635	NONE		NONE	NA	NA	NA	NA	NA
Hanchuan Peng, Eugene W. Myers	Comparing in situ mRNA expression patterns of drosophila embryos	157–166	10.1145/974614.974636	NONE		NONE	NA	NA	NA	NA	NA
Alexis Battle, Eran Segal, Daphne Koller	Probabilistic discovery of overlapping cellular processes and their regulation	167–176	10.1145/974614.974637	NONE		Journal of Computational Biology	Probabilistic Discovery of Overlapping Cellular Processes and Their Regulation	Alexis Battle, Eran Segal, Daphne Koller	12(7): 909-927	2005	10.1089/cmb.2005.12.909
