#Year	2005										
#Location	Cambridge, MA, United States										
#Dates	May 14 - 18										
#Website	https://recomb.org/recomb2005										
#PC_Chair	Satoru Miyano										
#Organization_Committee	Jill P. Mesirov (co-chair), Simon Kasif (co-chair)										
#Keynotes	David Altshuler, Wolfgang Baumeister, James Collins, Charles DeLisi, Jonathan King, Eric Lander, Michael Levine, Susan Lindquist										
#Proceedings_Type	LNCS										
#Proceedings_Volume	3500										
#Authors	RECOMB 2005 Paper Title (Original)	LNCS 3500 Pages	LNCS 3500 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Jacob Scott, Trey Ideker, Richard M. Karp, Roded Sharan	Efficient Algorithms for Detecting Signaling Pathways in Protein Interaction Networks	1-13	10.1007/11415770_1	NONE		Journal of Computational Biology	Efficient Algorithms for Detecting Signaling Pathways in Protein Interaction Networks	Jacob Scott, Trey Ideker, Richard M. Karp, Roded Sharan	13(2): 133-144	2006	10.1089/cmb.2006.13.133
Ariel Jaimovich, Gal Elidan, Hanah Margalit, Nir Friedman	Towards an Integrated Protein-Protein Interaction Network	14-30	10.1007/11415770_2	NONE		Journal of Computational Biology	Towards an Integrated Protein–Protein Interaction Network: A Relational Markov Network Approach	Ariel Jaimovich, Gal Elidan, Hanah Margalit, Nir Friedman	13(2): 145-164	2006	10.1089/cmb.2006.13.145
Irit Gat-Viks, Amos Tanay, Daniela Raijman, Ron Shamir	The Factor Graph Network Model for Biological Systems	31-47	10.1007/11415770_3	NONE		NONE	NA	NA	NA	NA	NA
Mehmet Koyutürk, Ananth Grama, Wojciech Szpankowski	Pairwise Local Alignment of Protein Interaction Networks Guided by Models of Evolution	48-65	10.1007/11415770_4	NONE		Journal of Computational Biology	Pairwise Alignment of Protein Interaction Networks	Mehmet Koyutürk, Yohan Kim, Umut Topkara, Shankar Subramaniam, Wojciech Szpankowski, Ananth Grama	13(2): 182-199	2006	10.1089/cmb.2006.13.182
Brendan J. Frey, Quaid D. Morris, Mark Robinson, Timothy R. Hughes	Finding Novel Transcripts in High-Resolution Genome-Wide Microarray Data Using the GenRate Model	66-82	10.1007/11415770_5	NONE		NONE	NA	NA	NA	NA	NA
Doron Lipson, Yonatan Aumann, Amir Ben-Dor, Nathan Linial, Zohar Yakhini	Efficient Calculation of Interval Scores for DNA Copy Number Data Analysis	83-100	10.1007/11415770_6	NONE		Journal of Computational Biology	Efficient Calculation of Interval Scores for DNA Copy Number Data Analysis	Doron Lipson, Yonatan Aumann, Amir Ben‐Dor, Nathan Linial, Zohar Yakhini	13(2): 215-228	2006	10.1089/cmb.2006.13.215
Kuen-Pin Wu, Jia-Ming Chang, Jun-Bo Chen, Chi-Fon Chang, Wen-Jin Wu, Tai-Huang Huang, Ting-Yi Sung, Wen-Lian Hsu	RIBRA An Error-Tolerant Algorithm for the NMR Backbone Assignment Problem	103-117	10.1007/11415770_9	NONE		Journal of Computational Biology	RIBRA—An Error-Tolerant Algorithm for the NMR Backbone Assignment Problem	Kun‐Pin Wu, Jia‐Ming Chang, Jun-Bo Chen, Chi‐Fon Chang, Wen‐Jin Wu, Tai-huang Huang, Ting-Yi Sung, Wen-Lian Hsu	13(2): 229-244	2006	10.1089/cmb.2006.13.229
Marshall Bern, Jindong Chen, Hao Chi Wong	Avoiding Local Optima in Single Particle Reconstruction	118-132	10.1007/11415770_10	NONE		NONE	NA	NA	NA	NA	NA
Chaya Ben-Zaken Zilberstein, Michal Ziv-Ukelson, Ron Y. Pinter, Zohar Yakhini	A High-Throughput Approach for Associating microRNAs with Their Activity Conditions	133-151	10.1007/11415770_11	NONE		Journal of Computational Biology	A High-Throughput Approach for Associating MicroRNAs with Their Activity Conditions	Chaya Ben-Zaken Zilberstein, Michal Ziv-Ukelson, Ron Y. Pinter, Zohar Yakhini	13(2): 245-266	2006	10.1089/cmb.2006.13.245
Can Alkan, Emre Karakoç, Joseph H. Nadeau, S. Cenk Sahinalp, Kaizhong Zhang	RNA-RNA Interaction Prediction and Antisense RNA Target Search	152-171	10.1007/11415770_12	NONE		Journal of Computational Biology	RNA-RNA Interaction Prediction and Antisense RNA Target Search	Can Alkan, Emre Karakoç, Joseph H. Nadeau, S. Cenk Sahinalp, Kaizhong Zhang	13(2): 267-282	2006	10.1089/cmb.2006.13.267
