#Year	2006										
#Location	Venice, Italy										
#Dates	April 2 - 5										
#Website	https://recomb.org/recomb2006										
#PC_Chair	Alberto Apostolico										
#Organization_Committee	Concettina Guerra (chair), Matteo Comin, Eleazar Eskin, Raffaele Giancarlo, Giuseppe Lancia, Cinzia Pizzi, Angela Visco, Nicola Vitacolonna										
#Keynotes	Anne-Claude Gavin, David Haussler, Ajay Royyuru, David Sankoff, Michael Waterman, Carl Zimmer, Roman Zubarev										
#Proceedings_Type	LNCS										
#Proceedings_Volume	3909										
#Authors	RECOMB 2006 Paper Title (Original)	LNCS 3909 Pages	LNCS 3909 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Balaji S. Srinivasan, Antal F. Novak, Jason A. Flannick, Serafim Batzoglou, Harley H. McAdams	Integrated Protein Interaction Networks for 11 Microbes	1-14	10.1007/11732990_1	NONE		NONE	NA	NA	NA	NA	NA
Xiaoduan Ye, Alan M. Friedman, Chris Bailey-Kellogg	Hypergraph Model of Multi-residue Interactions in Proteins: Sequentially-Constrained Partitioning Algorithms for Optimization of Site-Directed Protein Recombination	15-29	10.1007/11732990_2	NONE		Journal of Computational Biology	Hypergraph Model of Multi-Residue Interactions in Proteins: Sequentially-Constrained Partitioning Algorithms for Optimization of Site-Directed Protein Recombination	Xiaoduan Ye, Alan M. Friedman, Chris Bailey‐Kellogg	14(6): 777-790	2007	10.1089/cmb.2007.r016
Benny Chor, Tamir Tuller	Biological Networks: Comparison, Conservation, and Evolutionary Trees 	30-44	10.1007/11732990_3	NONE		NONE	NA	NA	NA	NA	NA
Mehmet Koyutürk, Ananth Grama, Wojciech Szpankowski	Assessing Significance of Connectivity and Conservation in Protein Interaction Networks	45-59	10.1007/11732990_4	NONE		Journal of Computational Biology	Assessing Significance of Connectivity and Conservation in Protein Interaction Networks	Mehmet Koyutürk, Wojciech Szpankowski, Ananth Grama	14(6): 747-764	2007	10.1089/cmb.2007.r014
Ling Wang, Marco Ramoni, Paola Sebastiani	Clustering Short Gene Expression Profiles	60-68	10.1007/11732990_5	NONE		NONE	NA	NA	NA	NA	NA
Naftali Kaminski, Ziv Bar-Joseph	A Patient-Gene Model for Temporal Expression Profiles in Clinical Studies	69-82	10.1007/11732990_6	NONE		Journal of Computational Biology	A Patient-Gene Model for Temporal Expression Profiles in Clinical Studies	Naftali Kaminski, Ziv Bar‐Joseph	14(3): 324-338	2007	10.1089/cmb.2007.0001
Steffen Grossmann, Sebastian Bauer, Peter N. Robinson, Martin Vingron	An Improved Statistic for Detecting Over-Represented Gene Ontology Annotations in Gene Sets	85-98	10.1007/11732990_9	NONE		Bioinformatics	Improved detection of overrepresentation of Gene-Ontology annotations with parent–child analysis	Steffen Grossmann, Sebastian Bauer, Peter N. Robinson, Martin Vingron	23(22): 3024-3031	2007	10.1093/bioinformatics/btm440
Akshay Vashist, Casimir Kulikowski, Ilya Muchnik	Protein Function Annotation Based on Ortholog Clusters Extracted from Incomplete Genomes Using Combinatorial Optimization	99-113	10.1007/11732990_10	NONE		NONE	NA	NA	NA	NA	NA
Jim C. Huang, Quaid D. Morris, Brendan J. Frey	Detecting MicroRNA Targets by Linking Sequence, MicroRNA and Gene Expression Data 	114-129	10.1007/11732990_11	NONE		Journal of Computational Biology	Bayesian Inference of MicroRNA Targets from Sequence and Expression Data	Jim Huang, Quaid Morris, Brendan J. Frey	14(5): 550-563	2007	10.1089/cmb.2007.r002
Can Alkan, Emre Karakoc, S. Cenk Sahinalp, Peter Unrau, H. Alexander Ebhardt, Kaizhong Zhang, Jeremy Buhler	RNA Secondary Structure Prediction Via Energy Density Minimization	130-142	10.1007/11732990_12	NONE		NONE	NA	NA	NA	NA	NA
Banu Dost, Buhm Han, Shaojie Zhang, Vineet Bafna	Structural Alignment of Pseudoknotted RNA	143-158	10.1007/11732990_13	NONE		Journal of Computational Biology	Structural Alignment of Pseudoknotted RNA	Buhm Han, Banu Dost, Vineet Bafna, Shaojie Zhang	15(5): 489-504	2008	10.1089/cmb.2007.0214
Chuong B. Do, Samuel S. Gross, Serafim Batzoglou	CONTRAlign: Discriminative Training for Protein Sequence Alignment	160-174	10.1007/11732990_15	NONE		NONE	NA	NA	NA	NA	NA
Michael Cameron, Yaniv Bernstein, Hugh E. Williams	Clustering Near-Identical Sequences for Fast Homology Search	175-189	10.1007/11732990_16	NONE		Journal of Computational Biology	Clustered Sequence Representation for Fast Homology Search	Michael J. Cameron, Yaniv Bernstein, Hugh Williams	14(5): 594-614	2007	10.1089/cmb.2007.r005
Adam Siepel, Katherine S. Pollard, David Haussler	New Methods for Detecting Lineage-Specific Selection	190-205	10.1007/11732990_17	NONE		NONE	NA	NA	NA	NA	NA
Miklós Csűrös, István Miklós	A Probabilistic Model for Gene Content Evolution with Duplication, Loss, and Horizontal Transfer 	206-220	10.1007/11732990_18	NONE		NONE	NA	NA	NA	NA	NA
Nicholas D. Pattengale, Bernard M.E. Moret	A Sublinear-Time Randomized Approximation Scheme for the Robinson-Foulds Metric	221-230	10.1007/11732990_19	NONE		NONE	NA	NA	NA	NA	NA
Yun S. Song, Zhihong Ding, Dan Gusfield, Charles H. Langley, Yufeng Wu	Algorithms to Distinguish the Role of Gene-Conversion from Single-Crossover Recombination in the Derivation of SNP Sequences in Populations	231-245	10.1007/11732990_20	NONE		Journal of Computational Biology	Algorithms to Distinguish the Role of Gene-Conversion from Single-Crossover Recombination in the Derivation of SNP Sequences in Populations	Yun S. Song, Zhihong Ding, Dan Gusfield, Charles H. Langley, Yufeng Wu	14(10): 1273-1286	2007	10.1089/cmb.2007.0096
Stanislav Angelov, Boulos Harb, Sampath Kannan, Sanjeev Khanna, Junhyong Kim	Efficient Enumeration of Phylogenetically Informative Substrings	248-264	10.1007/11732990_22	NONE		Journal of Computational Biology	Efficient Enumeration of Phylogenetically Informative Substrings	Stanislav Angelov, Boulos Harb, Sampath Kannan, Sanjeev Khanna, Junhyong Kim	14(6): 701-723	2007	10.1089/cmb.2007.r011
Sagi Snir, Lior Pachter	Phylogenetic Profiling of Insertions and Deletions in Vertebrate Genomes	265-280	10.1007/11732990_23	NONE		NONE	NA	NA	NA	NA	NA
Constantinos Daskalakis, Cameron Hill, Alexandar Jaffe, Radu Mihaescu, Elehanan Mossel, Satish Rao	Maximal Accurate Forests from Distance Matrices	281-295	10.1007/11732990_24	NONE		NONE	NA	NA	NA	NA	NA
David Heckerman, Carl Kadie, Jennifer Listgarten	Leveraging Information Across HLA Alleles/Supertypes Improves Epitope Prediction	296-308	10.1007/11732990_25	NONE		Journal of Computational Biology	Leveraging Information Across HLA Alleles/Supertypes Improves Epitope Prediction	David Heckerman, Carl Kadie, Jennifer Listgarten	14(6): 736-746	2007	10.1089/cmb.2007.r013
Sauro Menchetti, Andrea Passerini, Paolo Frasconi, Claudia Andreini, Antonio Rosato	Improving Prediction of Zinc Binding Sites by Modeling the Linkage Between Residues Close in Sequence	309-320	10.1007/11732990_26	NONE		NONE	NA	NA	NA	NA	NA
Teresa M. Przytycka	An Important Connection Between Network Motifs and Parsimony Models	321-335	10.1007/11732990_27	NONE		NONE	NA	NA	NA	NA	NA
Stefanie Scheid, Rainer Spang	Permutation Filtering: A Novel Concept for Significance Analysis of Large-Scale Genomic Data	338-347	10.1007/11732990_29	NONE		NONE	NA	NA	NA	NA	NA
Kai Wang, Ilya Nemenman, Nilanjana Banerjee, Adam A. Margolin, Andrea Califano	Genome-Wide Discovery of Modulators of Transcriptional Interactions in Human B Lymphocytes	348-362	10.1007/11732990_30	NONE		NONE					
Nuno Bandeira, Dekel Tsur, Ari Frank, Pavel Pevzner	A New Approach to Protein Identification	363-378	10.1007/11732990_31	NONE		Proceedings of the National Academy of Sciences	Protein identification by spectral networks analysis	Nuno Bandeira, Dekel Tsur, Ari Frank, Pavel A. Pevzner	104(15): 6140-6145	2007	10.1073/pnas.0701130104
Chakra Chennubhotla, Ivet Bahar	Markov Methods for Hierarchical Coarse-Graining of Large Protein Dynamics	379-393	10.1007/11732990_32	NONE		Journal of Computational Biology	Markov Methods for Hierarchical Coarse-Graining of Large Protein Dynamics	Chakra Chennubhotla, İvet Bahar	14(6): 765-776	2007	10.1089/cmb.2007.r015
Shawna Thomas, Xinyu Tang, Lydia Tapia, Nancy M. Amato	Simulating Protein Motions with Rigidity Analysis	394-409	10.1007/11732990_33	NONE		Journal of Computational Biology	Simulating Protein Motions with Rigidity Analysis	Shawna Thomas, Xinyu Tang, Lydia Tapia, Nancy M. Amato	14(6): 839-855	2007	10.1089/cmb.2007.r019
Tsung-Han Chiang, Mehmet Serkan Apaydin, Douglas L. Brutlag, David Hsu, Jean-Claude Latombe	Predicting Experimental Quantities in Protein Folding Kinetics Using Stochastic Roadmap Simulation	410-424	10.1007/11732990_34	NONE		Journal of Computational Biology	Using Stochastic Roadmap Simulation to Predict Experimental Quantities in Protein Folding Kinetics: Folding Rates and Phi-Values	Tsung-Han Chiang, Mehmet Serkan Apaydın, Douglas L. Brutlag, David Hsu, Jean‐Claude Latombe	14(5): 578-593	2007	10.1089/cmb.2007.r004
Philipp W. Messer, Ralf Bundschuh, Martin Vingron, Peter F. Arndt	Alignment Statistics for Long-Range Correlated Genomic Sequences	426-440	10.1007/11732990_36	NONE		NONE	NA	NA	NA	NA	NA
John Kececioglu, Eagu Kim	Simple and Fast Inverse Alignment	441-455	10.1007/11732990_37	NONE		NONE	NA	NA	NA	NA	NA
Samuel A. Andersson, Jens Lagergren	Motif Yggdrasil: Sampling from a Tree Mixture Model	458-472	10.1007/11732990_39	NONE		Journal of Computational Biology	Motif Yggdrasil: Sampling Sequence Motifs from a Tree Mixture Model	Samuel A. Andersson, Jens Lagergren	14(5): 682-697	2007	10.1089/cmb.2007.r010
Ydo Wexler, Chaya Zilberstein, Michal Ziv-Ukelson	A Study of Accessible Motifs and RNA Folding Complexity	473-487	10.1007/11732990_40	NONE		Journal of Computational Biology	A Study of Accessible Motifs and RNA Folding Complexity	Ydo Wexler, Chaya Ben-Zaken Zilberstein, Michal Ziv-Ukelson	14(6): 856-872	2007	10.1089/cmb.2007.r020
Jinbo Xu, Feng Jiao, Bonnie Berger	A Parameterized Algorithm for Protein Structure Alignment	488-499	10.1007/11732990_41	NONE		Journal of Computational Biology	A Parameterized Algorithm for Protein Structure Alignment	Jinbo Xu, Feng Jiao, Bonnie Berger	14(5): 564-577	2007	10.1089/cmb.2007.r003
Brian Y. Chen, Viacheslav Y. Fofanov, Drew H. Bryant, Bradley D. Dodson, David M. Kristensen, Andreas M. Lisewski, Marek Kimmel, Olivier Lichtarge, Lydia E. Kavraki	Geometric Sieving: Automated Distributed Optimization of 3D Motifs for Protein Function Prediction	500-515	10.1007/11732990_42	NONE		NONE	NA	NA	NA	NA	NA
Wei Xie, Nikolaos V. Sahinidis	A Branch-and-Reduce Algorithm for the Contact Map Overlap Problem	516-529	10.1007/11732990_43	NONE		Journal of Computational Biology	A Reduction-Based Exact Algorithm for the Contact Map Overlap Problem	Wei Xie, Nikolaos V. Sahinidis	14(5): 637-654	2007	10.1089/cmb.2007.r007
Ivelin Georgiev, Ryan H. Lilien, Bruce R. Donald	A Novel Minimized Dead-End Elimination Criterion and Its Application to Protein Redesign in a Hybrid Scoring and Search Algorithm for Computing Partition Functions over Molecular Ensembles	530-545	10.1007/11732990_44	NONE		Journal of Computational Chemistry	The minimized dead‐end elimination criterion and its application to protein redesign in a hybrid scoring and search algorithm for computing partition functions over molecular ensembles	Ivelin S. Georgiev, Ryan Lilien, Bruce R. Donald	29(10): 1527-1542	2008	10.1002/jcc.20909
Martin Bader, Enno Ohlebusch	Sorting by Weighted Reversals, Transpositions, and Inverted Transpositions 	563-577	10.1007/11732990_46	NONE		Journal of Computational Biology	Sorting by Weighted Reversals, Transpositions, and Inverted Transpositions	Martin Bader, Enno Ohlebusch	14(5): 615-636	2007	10.1089/cmb.2007.r006
Zheng Fu, Xin Chen, Vladimir Vacic, Peng Nan, Yang Zhong, Tao Jiang	A Parsimony Approach to Genome-Wide Ortholog Assignment	578-594	10.1007/11732990_47	NONE		NONE	NA	NA	NA	NA	NA
Jeremy Darot, Chen-Hsiang Yeang, David Haussler	Detecting the Dependent Evolution of Biosequences	595-610	10.1007/11732990_48	NONE		Molecular Biology and Evolution	Detecting the Coevolution of Biosequences An Example of RNA Interaction Prediction	Chen-Hsiang Yeang, Jeremy F. J. Darot, Harry. F. Noller, David Haussler	24(10): 2354	2007	10.1093/molbev/msm189
