#Year	2007										
#Location	Oakland, CA, United States										
#Dates	April 21 - 25										
#Website	https://recomb.org/recomb2007										
#PC_Chair	Terry Speed										
#Organization_Committee	Sandrine Dudoit										
#Keynotes	Elizabeth H. Blackburn, Jennifer Marshall Graves, Yishi Jin, Jay D. Keasling, Harry F. Noller, Patrick O. Brown, Abby Dernburg, Aviv Regev										
#Proceedings_Type	LNCS										
#Proceedings_Volume	4453										
#Authors	RECOMB 2007 Paper Title (Original)	LNCS 4453 Pages	LNCS 4453 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Banu Dost, Tomer Shlomi, Nitin Gupta, Eytan Ruppin, Vineet Bafna, Roded Sharan	QNet: A Tool for Querying Protein Interaction Networks	1-15	10.1007/978-3-540-71681-5_1	NONE		Journal of Computational Biology	QNet: A Tool for Querying Protein Interaction Networks	Banu Dost, Tomer Shlomi, Nitin Gupta, Eytan Ruppin, Vineet Bafna, Roded Sharan	15(7): 913-925	2008	10.1089/cmb.2007.0172
Rohit Singh, Jinbo Xu, Bonnie Berger	Pairwise Global Alignment of Protein Interaction Networks by Matching Neighborhood Topology	16-31	10.1007/978-3-540-71681-5_2	NONE		NONE	NA	NA	NA	NA	NA
Allister Bernard, David S. Vaughn, Alexander J. Hartemink	Reconstructing the Topology of Protein Complexes	32-46	10.1007/978-3-540-71681-5_3	NONE		NONE	NA	NA	NA	NA	NA
T.M. Murali and Corban G. Rivera	Network Legos: Building Blocks of Cellular Wiring Diagrams	47-61	10.1007/978-3-540-71681-5_4	NONE		Journal of Computational Biology	Network Legos: Building Blocks of Cellular Wiring Diagrams	T. M. Murali, Corban G. Rivera	15(7): 829-844	2008	10.1089/cmb.2007.0139
Abhishek Garg, Ioannis Xenarios, Luis Mendoza, Giovanni DeMicheli	An Efficient Method for Dynamic Analysis of Gene Regulatory Networks and in silico Gene Perturbation Experiments	62-76	10.1007/978-3-540-71681-5_5	NONE		NONE	NA	NA	NA	NA	NA
Eilon Sharon and Eran Segal	A Feature-Based Approach to Modeling Protein-DNA Interactions	77-91	10.1007/978-3-540-71681-5_6	NONE		PLoS Computational Biology	A Feature-Based Approach to Modeling Protein–DNA Interactions	Eilon Sharon, Shai Lubliner, Eran Segal	4(8): e1000154	2008	10.1371/journal.pcbi.1000154
Joshua A. Grochow and Manolis Kellis	Network Motif Discovery Using Subgraph Enumeration and Symmetry-Breaking	92-106	10.1007/978-3-540-71681-5_7	NONE		NONE	NA	NA	NA	NA	NA
Leelavati Narlikar, Raluca Gordan, Alexander J. Hartemink	Nucleosome Occupancy Information Improves de novo Motif Discovery	107-121	10.1007/978-3-540-71681-5_8	NONE		NONE	NA	NA	NA	NA	NA
Amir Ben-Dor, Doron Lipson, Anya Tsalenko, Mark Reimers, Lars O. Baumbusch, Michael T. Barrett, John N. Weinstein, Anne-Lise Børresen-Dale, Zohar Yakhini	Framework for Identifying Common Aberrations in DNA Copy Number Data	122-136	10.1007/978-3-540-71681-5_9	NONE		NONE	NA	NA	NA	NA	NA
Wenyi Wang, Benilton Carvalho, Nate Miller, Jonathan Pevsner, Aravinda Chakravarti, Rafael A. Irizarry	Estimating Genome-Wide Copy Number Using Allele Specific Mixture Models	137-150	10.1007/978-3-540-71681-5_10	NONE		Journal of Computational Biology	Estimating Genome-Wide Copy Number Using Allele-Specific Mixture Models	Wenyi Wang, Benilton S. Carvalho, Nathaniel D. Miller, Jonathan Pevsner, Aravinda Chakravarti, Rafael A. Irizarry	15(7): 857-866	2008	10.1089/cmb.2007.0148
