#Year	2008										
#Location	Singapore										
#Dates	March 30 - April 2										
#Website	https://recomb.org/recomb2008										
#PC_Chair	Martin Vingron										
#Organization_Committee	Limsoon Wong (chair), Agnes Ang, Lay Khim Chng, Kwok Pui Choi, Alexia Leong, Hon Wai Leong, Wai Kin Leong, Stefanie Ng, Wing-Kin Sung, Martti Tammi, Siang Yong Yap, Xin Chen, Chee Keong Kwoh, Guillaume Bourque, Alan Christoffels, Dong-Yup Lee, Gunaretnam Rajagopal										
#Keynotes	Edison Liu, Sang Yup Lee, Andrei Lupas, Howard Cedar, Vivian Cheung, Temple F. Smith, Suzanne Cory										
#Proceedings_Type	LNCS										
#Proceedings_Volume	4955										
#Authors	RECOMB 2008 Paper Title (Original)	LNCS 4955 Pages	LNCS 4955 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Caroline C. Friedel, Jan Krumsiek, Ralf Zimmer	Bootstrapping the Interactome: Unsupervised Identification of Protein Complexes in Yeast	3-16	10.1007/978-3-540-78839-3_2	NONE		Journal of Computational Biology	Bootstrapping the Interactome: Unsupervised Identification of Protein Complexes in Yeast	Caroline C. Friedel, Jan Krumsiek, Ralf Zimmer	16(8): 971-987	2009	10.1089/cmb.2009.0023
Sourav Chatterji, Ichitaro Yamazaki, Zhaojun Bai, Jonathan A. Eisen	Compost Bin: A DNA Composition-Based Algorithm for Binning Environmental Shotgun Reads	17-28	10.1007/978-3-540-78839-3_3	NONE		NONE	NA	NA	NA	NA	NA
Yu Zhang, Giltae Song, Tomáš Vinař, Eric D. Green, Adam Siepel, Webb Miller	Reconstructing the Evolutionary History of Complex Human Gene Clusters	29-49	10.1007/978-3-540-78839-3_4	NONE		Journal of Computational Biology	Evolutionary History Reconstruction for Mammalian Complex Gene Clusters	Yu Zhang, Giltae Song, Tomáš Vinař, Eric D. Green, Adam Siepel, Webb Miller	16(8): 1051-1070	2009	10.1089/cmb.2009.0040
Paul Medvedev and Michael Brudno	Ab Initio Whole Genome Shotgun Assembly with Mated Short Reads	50-64	10.1007/978-3-540-78839-3_5	NONE		NONE	NA	NA	NA	NA	NA
Tien-ho Lin, Pradipta Ray, Geir K. Sandve, Selen Uguroglu, Eric P. Xing	BayCis: A Bayesian Hierarchical HMM for Cis-Regulatory Module Decoding in Metazoan Genomes	66-81	10.1007/978-3-540-78839-3_7	NONE		NONE	NA	NA	NA	NA	NA
Yanxin Shi, Itamar Simon, Tom Mitchell, Ziv Bar-Joseph	A Combined Expression-Interaction Model for Inferring the Temporal Activity of Transcription Factors	82-97	10.1007/978-3-540-78839-3_8	NONE		Journal of Computational Biology	A Combined Expression-Interaction Model for Inferring the Temporal Activity of Transcription Factors	Yanxin Shi, Michael Klutstein, Itamar Simon, Tom M. Mitchell, Ziv Bar‐Joseph	16(8): 1035-1049	2009	10.1089/cmb.2009.0024
Raluca Gordân, Leelavati Narlikar, Alexander J. Hartemink	A Fast, Alignment-Free, Conservation-Based Method for Transcription Factor Binding Site Discovery	98-111	10.1007/978-3-540-78839-3_9	NONE		NONE	NA	NA	NA	NA	NA
John Hawkins and Timothy L. Bailey	The Statistical Power of Phylogenetic Motif Models	112-126	10.1007/978-3-540-78839-3_10	NONE		NONE	NA	NA	NA	NA	NA
Fuhui Long, Hanchuan Peng, Xiao Liu, Stuart Kim, Gene Myers	Automatic Recognition of Cells (ARC) for 3D Images of C. elegans	128-139	10.1007/978-3-540-78839-3_12	NONE		NONE	NA	NA	NA	NA	NA
Ritendra Datta and Marshall Bern	Spectrum Fusion: Using Multiple Mass Spectra for De Novo Peptide Sequencing	140-153	10.1007/978-3-540-78839-3_13	NONE		Journal of Computational Biology	Spectrum Fusion: Using Multiple Mass Spectra for De Novo Peptide Sequencing	Ritendra Datta, Marshall Bern	16(8): 1169-1182	2009	10.1089/cmb.2009.0122
