#Year	2009										
#Location	Tucson, AZ, United States										
#Dates	May 18 - 21										
#Website	https://recomb.org/recomb2009										
#PC_Chair	Serafim Batzoglou										
#Organization_Committee	John Kececioglu (chair)										
#Keynotes	Carlos D. Bustamante, Rade Drmanac, Mark Gerstein, Eran Halperin, Michael Hammer, Joanna Mountain, Stephen Quake, Mostafa Ronaghi, Pardis Sabeti, Michael Snyder										
#Proceedings_Type	LNCS										
#Proceedings_Volume	5541										
#Authors	RECOMB 2009 Paper Title (Original)	LNCS 5541 Pages	LNCS 5541 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Tetsuo Shibuya	Searching Protein 3-D Structures in Linear Time	1-15	10.1007/978-3-642-02008-7_1	NONE		Journal of Computational Biology	Searching Protein 3-D Structures in Linear Time	Tetsuo Shibuya	17(3): 203-219	2010	10.1089/cmb.2009.0148
Zengyou He, Chao Yang, Can Yang, Robert Z. Qi, Jason Po-Ming Tam, Weichuan Yu	Optimization-Based Peptide Mass Fingerprinting for Protein Mixture Identification	16-30	10.1007/978-3-642-02008-7_2	NONE		Journal of Computational Biology	Optimization-Based Peptide Mass Fingerprinting for Protein Mixture Identification	Zengyou He, Chao Yang, Can Yang, Robert Z. Qi, Jason Po-Ming Tam, Weichuan Yu	17(3): 221-235	2010	10.1089/cmb.2009.0160
Jian Peng and Jinbo Xu	Boosting Protein Threading Accuracy	31-45	10.1007/978-3-642-02008-7_3	NONE		NONE	NA	NA	NA	NA	NA
Cedric Chauve and Nadia El-Mabrouk	New Perspectives on Gene Family Evolution: Losses in Reconciliation and a Link with Supertrees	46-58	10.1007/978-3-642-02008-7_4	NONE		NONE	NA	NA	NA	NA	NA
Feng Zhao, Jian Peng, Joe DeBartolo, Karl F. Freed, Tobin R. Sosnick, Jinbo Xu	A Probabilistic Graphical Model for Ab Initio Folding	59-73	10.1007/978-3-642-02008-7_5	NONE		NONE					
Sharon Bruckner, Falk Hüffner, Richard M. Karp, Ron Shamir, Roded Sharan	Topology-Free Querying of Protein Interaction Networks	74-89	10.1007/978-3-642-02008-7_6	NONE		Nucleic Acids Research	Torque: topology-free querying of protein interaction networks	Stefan Brückner, Falk Hüffner, Richard M. Karp, Ron Shamir, Roded Sharan	37(Web Server): W106-W108	2009	10.1093/nar/gkp474
Yong Lu, Roni Rosenfeld, Gerard J. Nau, Ziv Bar-Joseph	Cross Species Expression Analysis of Innate Immune Response	90-107	10.1007/978-3-642-02008-7_7	NONE		Journal of Computational Biology	Cross Species Expression Analysis of Innate Immune Response	Yong Lu, Roni Rosenfeld, Gerard J. Nau, Ziv Bar‐Joseph	17(3): 253-268	2010	10.1089/cmb.2009.0147
Bonnie Kirkpatrick, Javier Rosa, Eran Halperin, Richard M. Karp	Haplotype Inference in Complex Pedigrees	108-120	10.1007/978-3-642-02008-7_8	NONE		Journal of Computational Biology	Haplotype Inference in Complex Pedigrees	Bonnie Kirkpatrick, Eran Halperin, Richard M. Karp	17(3): 269-280	2010	10.1089/cmb.2009.0174
Veli Mäkinen, Gonzalo Navarro, Jouni Sirén, Niko Välimäki	Storage and Retrieval of Individual Genomes	121-137	10.1007/978-3-642-02008-7_9	NONE		DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)	Storage and Retrieval of Individual Genomes	Veli Mäkinen, Gonzalo Navarro, Jouni Sirén, Niko Välimäki	0	2008	10.4230/dagsemproc.08261.10
Arvind Ramanathan, Pratul K. Agarwal, Maria Kurnikova, Christopher J. Langmead	An Online Approach for Mining Collective Behaviors from Molecular Dynamics Simulations	138-154	10.1007/978-3-642-02008-7_10	NONE		Journal of Computational Biology	An Online Approach for Mining Collective Behaviors from Molecular Dynamics Simulations	Arvind Ramanathan, Pratul K. Agarwal, Maria G. Kurnikova, Christopher J. Langmead	17(3): 309-324	2010	10.1089/cmb.2009.0167
Alexandre Donzé, Gilles Clermont, Axel Legay, Christopher J. Langmead	Parameter Synthesis in Nonlinear Dynamical Systems: Application to Systems Biology	155-169	10.1007/978-3-642-02008-7_11	NONE		Journal of Computational Biology	Parameter Synthesis in Nonlinear Dynamical Systems: Application to Systems Biology	Alexandre Donzé, Gilles Clermont, Christopher J. Langmead	17(3): 325-336	2010	10.1089/cmb.2009.0172
Rami Jaschek and Amos Tanay	Spatial Clustering of Multivariate Genomic and Epigenomic Information	170-183	10.1007/978-3-642-02008-7_12	NONE		NONE	NA	NA	NA	NA	NA
Nicholas D. Pattengale, Masoud Alipour, Olaf R.P. Bininda-Emonds, Bernard M.E. Moret, Alexandros Stamatakis	How Many Bootstrap Replicates Are Necessary?	184-200	10.1007/978-3-642-02008-7_13	NONE		Journal of Computational Biology	How Many Bootstrap Replicates Are Necessary?	Nicholas D. Pattengale, Masoud Alipour, Olaf R. P. Bininda‐Emonds, Bernard M. E. Moret, Alexandros Stamatakis	17(3): 337-354	2010	10.1089/cmb.2009.0179
Oliver Stegle, Katherine Denby, David L. Wild, Zoubin Ghahramani, Karsten M. Borgwardt	A Robust Bayesian Two-Sample Test for Detecting Intervals of Differential Gene Expression in Microarray Time Series	201-216	10.1007/978-3-642-02008-7_14	NONE		Journal of Computational Biology	A Robust Bayesian Two-Sample Test for Detecting Intervals of Differential Gene Expression in Microarray Time Series	Oliver Stegle, Katherine Denby, Emma J. Cooke, David L. Wild, Zoubin Ghahramani, Karsten Borgwardt	17(3): 355-367	2010	10.1089/cmb.2009.0175
Tali Raveh-Sadka, Michal Levo, Eran Segal	Incorporating Nucleosomes into Thermodynamic Models of Transcription Regulation	217-217	10.1007/978-3-642-02008-7_15	NONE		Genome Research	Incorporating nucleosomes into thermodynamic models of transcription regulation	Tali Raveh-Sadka, Michal Levo, Eran Segal	19(8): 1480-1496	2009	10.1101/gr.088260.108
Fereydoun Hormozdiari, Can Alkan, Evan E. Eichler, S. Cenk Sahinalp	Combinatorial Algorithms for Structural Variation Detection in High Throughput Sequenced Genomes	218-219	10.1007/978-3-642-02008-7_16	NONE		Genome Research	Combinatorial algorithms for structural variation detection in high-throughput sequenced genomes	Fereydoun Hormozdiari, Can Alkan, Evan E. Eichler, S. Cenk Sahinalp	19(7): 1270-1278	2009	10.1101/gr.088633.108
Ali Bashir, Qing Lu, Dennis Carson, Benjamin Raphael, Yu-Tsueng Liu, Vineet Bafna	Optimizing PCR Assays for DNA Based Cancer Diagnostics	220-235	10.1007/978-3-642-02008-7_17	NONE		Journal of Computational Biology	Optimizing PCR Assays for DNA-Based Cancer Diagnostics	Ali Bashir, Qing Lü, Dennis A. Carson, Benjamin J. Raphael, Yu‐Tsueng Liu, Vineet Bafna	17(3): 369-381	2010	10.1089/cmb.2009.0203
