#Year	2010										
#Location	Lisbon, Portugal										
#Dates	August 12 - 15										
#Website	https://recomb.org/recomb2010										
#PC_Chair	Bonnie Berger										
#Organization_Committee	Arlindo Oliveira (co-chair), Ana Teresa Freitas (co-chair), João Carriço, Alexandre Francisco, Paulo Fonseca, José Pereira Leal, Sara Madeira, Luís Rocha, Sara Silva, Susana Vinga										
#Keynotes	Cecilia Arraiano, David Bartel, Isaac Kohane, Phil Kapranov, Norbert Perrimon, Mona Singh										
#Proceedings_Type	LNCS										
#Proceedings_Volume	6044										
#Authors	RECOMB 2010 Paper Title (Original)	LNCS 6044 Pages	LNCS 6044 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Nir Atias and Roded Sharan	An Algorithmic Framework for Predicting Side-Effects of Drugs	1-14	10.1007/978-3-642-12683-3_1	NONE		Journal of Computational Biology	An Algorithmic Framework for Predicting Side Effects of Drugs	Nir Atias, Roded Sharan	18(3): 207-218	2011	10.1089/cmb.2010.0255
Ferhat Ay and Tamer Kahveci	SubMAP: Aligning Metabolic Pathways with Subnetwork Mappings	15-30	10.1007/978-3-642-12683-3_2	NONE		Journal of Computational Biology	SubMAP: Aligning Metabolic Pathways with Subnetwork Mappings	Ferhat Ay, Manolis Kellis, Tamer Kahveci	18(3): 219-235	2011	10.1089/cmb.2010.0280
Sivan Bercovici and Dan Geiger	Admixture Aberration Analysis: Application to Mapping in Admixed Population Using Pooled DNA	31-49	10.1007/978-3-642-12683-3_3	NONE		Journal of Computational Biology	Admixture Aberration Analysis: Application to Mapping in Admixed Population Using Pooled DNA	Sivan Bercovici, Dan Geiger	18(3): 237-249	2011	10.1089/cmb.2010.0250
Sivan Bercovici, Itai Sharon, Ron Y. Pinter, Tomer Shlomi	Pathway-Based Functional Analysis of Metagenomes	50-64	10.1007/978-3-642-12683-3_4	NONE		Journal of Computational Biology	Pathway-Based Functional Analysis of Metagenomes	Itai Sharon, Sivan Bercovici, Ron Y. Pinter, Tomer Shlomi	18(3): 495-505	2011	10.1089/cmb.2010.0260
José Caldas and Samuel Kaski	Hierarchical Generative Biclustering for MicroRNA Expression Analysis	65-79	10.1007/978-3-642-12683-3_5	NONE		Journal of Computational Biology	Hierarchical Generative Biclustering for MicroRNA Expression Analysis	José Caldas, Samuel Kaski	18(3): 251-261	2011	10.1089/cmb.2010.0256
Salim A. Chowdhury, Rod K. Nibbe, Mark R. Chance, Mehmet Koyutürk	Subnetwork State Functions Define Dysregulated Subnetworks in Cancer	80-95	10.1007/978-3-642-12683-3_6	NONE		Journal of Computational Biology	Subnetwork State Functions Define Dysregulated Subnetworks in Cancer	Salim A. Chowdhury, Rod K. Nibbe, Mark R. Chance, Mehmet Koyutürk	18(3): 263-281	2011	10.1089/cmb.2010.0269
Manfred Claassen, Ruedi Aebersold, Joachim M. Buhmann	Proteome Coverage Prediction for Integrated Proteomics Datasets	96-109	10.1007/978-3-642-12683-3_7	NONE		Journal of Computational Biology	Proteome Coverage Prediction for Integrated Proteomics Datasets	Manfred Claassen, Ruedi Aebersold, Joachim M. Buhmann	18(3): 283-293	2011	10.1089/cmb.2010.0261
Timothy Danford, Robin Dowell, Sudeep Agarwala, Paula Grisafi, Gerald Fink, David Gifford	Discovering Regulatory Overlapping RNA Transcripts	110-122	10.1007/978-3-642-12683-3_8	NONE		Journal of Computational Biology	Discovering Regulatory Overlapping RNA Transcripts	Timothy Danford, Robin D. Dowell, Sudeep D. Agarwala, Paula Grisafi, Gerald R. Fink, David K. Gifford	18(3): 295-303	2011	10.1089/cmb.2010.0267
Constantinos Daskalakis and Sebastien Roch	Alignment-Free Phylogenetic Reconstruction	123-137	10.1007/978-3-642-12683-3_9	arXiv:1109.5002	10.4855	The Annals of Applied Probability	Alignment-free phylogenetic reconstruction: Sample complexity via a branching process analysis	Constantinos Daskalakis, Sebastien Roch	23(2): 693-721	2013	10.1214/12-aap852
Jianxing Feng, Wei Li, Tao Jiang	Inference of Isoforms from Short Sequence Reads	138-157	10.1007/978-3-642-12683-3_10	NONE		Journal of Computational Biology	Inference of Isoforms from Short Sequence Reads	Jianxing Feng, Wei Li, Tao Jiang	18(3): 305-321	2011	10.1089/cmb.2010.0243
