#Year	2011										
#Location	Vancouver, BC, Canada										
#Dates	March 28 - 31										
#Website	https://recomb.org/recomb2011/										
#PC_Chair	Vineet Bafna										
#Organization_Committee	S. Cenk Sahinalp (chair), Cedric Chauve, Martin Ester, Inanc Birol, Fiona Brinkman, Steven Jones, Anne Condon, Jack Chen, Artem Cherkasov, Colin Collins, Tamon Stephen, Stas Volik, Wyeth Wasserman, Kay Wiese										
#Keynotes	Evan Eichler, Daphne Koller, Marco Marra, Karen Nelson, Elaine Mardis, Joseph Nadeau										
#Proceedings_Type	LNCS										
#Proceedings_Volume	6577										
#Authors	RECOMB 2011 Paper Title (Original)	LNCS 6577 Pages	LNCS 6577 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Amnon Amir and Or Zuk	Bacterial Community Reconstruction Using Compressed Sensing	1-15	10.1007/978-3-642-20036-6_1	NONE		Journal of Computational Biology	Bacterial Community Reconstruction Using Compressed Sensing	Amnon Amir, Or Zuk	18(11): 1723-1741	2011	10.1089/cmb.2011.0189
Swapnil Bhatia, Yong J. Kil, Beatrix Ueberheide, Brian Chait, Lemmuel L. Tayo, Lourdes J. Cruz, Bingwen Lu, John R. Yates III, Marshall Bern	Constrained De Novo Sequencing of Peptides with Application to Conotoxins	16-30	10.1007/978-3-642-20036-6_2	NONE		NONE	NA	NA	NA	NA	NA
Leonid Chindelevitch, Aviv Regev, Bonnie Berger	Metabolic Network Analysis Demystified	31-33	10.1007/978-3-642-20036-6_3	NONE		NONE	NA	NA	NA	NA	NA
Leonid Chindelevitch, Daniel Ziemek, Ahmed Enayetallah, Ranjit Randhawa, Ben Sidders, Christoph Brockel, Enoch Huang	Causal Reasoning on Biological Networks: Interpreting Transcriptional Changes	34-37	10.1007/978-3-642-20036-6_4	NONE		Bioinformatics	Causal reasoning on biological networks: interpreting transcriptional changes	Leonid Chindelevitch, Daniel Ziemek, Ahmed Enayetallah, Ranjit Randhawa, Ben S. Sidders, Christoph Brockel, Enoch S. Huang	28(8): 1114-1121	2012	10.1093/bioinformatics/bts090
Nilgun Donmez and Michael Brudno	Hapsembler: An Assembler for Highly Polymorphic Genomes	38-52	10.1007/978-3-642-20036-6_5	NONE		NONE	NA	NA	NA	NA	NA
Sinan Erten, Gurkan Bebek, Mehmet Koyutürk	Disease Gene Prioritization Based on Topological Similarity in Protein-Protein Interaction Networks	54-68	10.1007/978-3-642-20036-6_7	NONE		Journal of Computational Biology	Vavien : An Algorithm for Prioritizing Candidate Disease Genes Based on Topological Similarity of Proteins in Interaction Networks	Sinan Erten, Gürkan Bebek, Mehmet Koyutürk	18(11): 1561-1574	2011	10.1089/cmb.2011.0154
Allison P. Heath, George N. Bennett, Lydia E. Kavraki	Identifying Branched Metabolic Pathways by Merging Linear Metabolic Pathways	70-84	10.1007/978-3-642-20036-6_9	NONE		Journal of Computational Biology	An Algorithm for Efficient Identification of Branched Metabolic Pathways	Allison P. Heath, George N. Bennett, Lydia E. Kavraki	18(11): 1575-1597	2011	10.1089/cmb.2011.0165
Glenn Hickey and Mathieu Blanchette	A Probabilistic Model For Sequence Alignment with Context-Sensitive Indels	85-103	10.1007/978-3-642-20036-6_10	NONE		Journal of Computational Biology	A Probabilistic Model for Sequence Alignment with Context-Sensitive Indels	Glenn Hickey, Mathieu Blanchette	18(11): 1449-1464	2011	10.1089/cmb.2011.0157
Fereydoun Hormozdiari, Iman Hajirasouliha, Andrew McPherson, Evan E. Eichler, S. Cenk Sahinalp	Simultaneous Structural Variation Discovery in Multiple Paired-End Sequenced Genomes	104-105	10.1007/978-3-642-20036-6_11	NONE		Genome Research	Simultaneous structural variation discovery among multiple paired-end sequenced genomes	Fereydoun Hormozdiari, Iman Hajirasouliha, Andrew McPherson, Evan E. Eichler, S. Cenk Sahinalp	21(12): 2203-2212	2011	10.1101/gr.120501.111
Jim C. Huang and Nebojsa Jojic	Variable Selection through Correlation Sifting	106-123	10.1007/978-3-642-20036-6_12	NONE		NONE	NA	NA	NA	NA	NA
Shuai Jiang and Max A. Alekseyev	Weighted Genomic Distance Can Hardly Impose a Bound on the Proportion of Transpositions	124-133	10.1007/978-3-642-20036-6_13	NONE		NONE	NA	NA	NA	NA	NA
Jaebum Kim and Jian Ma	PSAR: Measuring Multiple Sequence Alignment Reliability by Probabilistic Sampling	134-135	10.1007/978-3-642-20036-6_14	NONE		Nucleic Acids Research	PSAR: measuring multiple sequence alignment reliability by probabilistic sampling	Jaebum Kim, Jian Ma	39(15): 6359-6368	2011	10.1093/nar/gkr334
