#Year	2012										
#Location	Barcelona, Spain										
#Dates	April 21 - 24										
#Website	https://recomb.org/recomb2012/										
#PC_Chair	Benny Chor										
#Organization_Committee	Rodric Guigo (chair), Josep F Abril, Francisco Cámara, Eduardo Eyras, Pedro Ferreira, Toni Gabaldón, Cédric Notredame, Gabriel Valiente, Blanka Wysocka										
#Keynotes	Richard Durbin, Eileen Furlong, Thomas Gingeras, Alfonso Valencia, Ada E. Yonath										
#Proceedings_Type	LNCS										
#Proceedings_Volume	7262										
#Authors	RECOMB 2012 Paper Title (Original)	LNCS 7262 Pages	LNCS 7262 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Babak Alipanahi, Nathan Krislock, Ali Ghodsi, Henry Wolkowicz, Logan Donaldson, Ming Li	Protein Structure by Semidefinite Facial Reduction	1-11	10.1007/978-3-642-29627-7_1	NONE		NONE	NA	NA	NA	NA	NA
Sivan Bercovici, Jesse M. Rodriguez, Megan Elmore, Serafim Batzoglou	Ancestry Inference in Complex Admixtures via Variable-Length Markov Chain Linkage Models	12-28	10.1007/978-3-642-29627-7_2	NONE		Journal of Computational Biology	Ancestry Inference in Complex Admixtures via Variable-length Markov Chain Linkage Models	Jesse M. Rodriguez, Sivan Bercovici, Megan Elmore, Serafim Batzoglou	20(3): 199-211	2013	10.1089/cmb.2012.0088
Stefan Canzar, Mohammed El-Kebir, Rene Pool, Khaled Elbassioni, Alpesh K. Malde, Alan E. Mark, Daan P. Geerke, Leen Stougie, Gunnar W. Klau	Charge Group Partitioning in Biomolecular Simulation	29-43	10.1007/978-3-642-29627-7_3	NONE		Journal of Computational Biology	Charge Group Partitioning in Biomolecular Simulation	Stefan Canzar, Mohammed El-Kebir, René Pool, Khaled Elbassioni, Alpeshkumar K. Malde, Alan E. Mark, Daan P. Geerke, Leen Stougie, Gunnar W. Klau	20(3): 188-198	2013	10.1089/cmb.2012.0239
Dan F. DeBlasio, Travis J. Wheeler, John D. Kececioglu	Estimating the Accuracy of Multiple Alignments and its Use in Parameter Advising	45-59	10.1007/978-3-642-29627-7_5	NONE		Journal of Computational Biology	Accuracy Estimation and Parameter Advising for Protein Multiple Sequence Alignment	John Kececioglu, Dan DeBlasio	20(4): 259-279	2013	10.1089/cmb.2013.0007
Matthew R. Francis and Elana J. Fertig	Quantifying the Dynamics of Coupled Networks of Switches and Oscillators	60-61	10.1007/978-3-642-29627-7_6	arXiv:1111.7243	10.4855	PLoS ONE	Quantifying the Dynamics of Coupled Networks of Switches and Oscillators	Matthew R. Francis, Elana J. Fertig	7(1): e29497	2012	10.1371/journal.pone.0029497
Melissa Gymrek, David Golan, Saharon Rosset, Yaniv Erlich	lobSTR: A Short Tandem Repeat Profiler for Personal Genomes	62-63	10.1007/978-3-642-29627-7_7	NONE		Genome Research	lobSTR: A short tandem repeat profiler for personal genomes	Melissa Gymrek, David E. Golan, Saharon Rosset, Yaniv Erlich	22(6): 1154-1162	2012	10.1101/gr.135780.111
Dan He, Buhm Han, Eleazar Eskin	Hap-seq: An Optimal Algorithm for Haplotype Phasing with Imputation Using Sequencing Data	64-78	10.1007/978-3-642-29627-7_8	NONE		Journal of Computational Biology	Hap-seq: An Optimal Algorithm for Haplotype Phasing with Imputation Using Sequencing Data	Dan He, Buhm Han, Eleazar Eskin	20(2): 80-92	2013	10.1089/cmb.2012.0091
Lu He, Fabio Vandin, Gopal Pandurangan, Chris Bailey-Kellogg	BALLAST: A Ball-Based Algorithm for Structural Motifs	79-93	10.1007/978-3-642-29627-7_9	NONE		Journal of Computational Biology	Ballast : A Ball-based Algorithm for Structural Motifs	Lu He, Fabio Vandin, Gopal Pandurangan, Chris Bailey‐Kellogg	20(2): 137-151	2013	10.1089/cmb.2012.0246
Patrick Holloway, Krister Swenson, David Ardell, Nadia El-Mabrouk	Evolution of Genome Organization by Duplication and Loss: An Alignment Approach	94-112	10.1007/978-3-642-29627-7_10	NONE		Journal of Computational Biology	Ancestral Genome Organization: An Alignment Approach	Patrick Holloway, Krister M. Swenson, David H. Ardell, Nadia El-Mabrouk	20(4): 280-295	2013	10.1089/cmb.2012.0292
Daniel Holtby, Shuai Cheng Li, Ming Li	LoopWeaver Loop Modeling by the Weighted Scaling of Verified Proteins	113-126	10.1007/978-3-642-29627-7_11	NONE		Journal of Computational Biology	LoopWeaver: Loop Modeling by the Weighted Scaling of Verified Proteins	Daniel G. Holtby, Shuai Cheng Li, Ming Li	20(3): 212-223	2013	10.1089/cmb.2012.0078
Yan Huang, Yin Hu, Corbin D. Jones, James N. MacLeod, Derek Y. Chiang, Yufeng Liu, Jan F. Prins, Jinze Liu	A Robust Method for Transcript Quantification with RNA-seq Data	127-147	10.1007/978-3-642-29627-7_12	NONE		Journal of Computational Biology	A Robust Method for Transcript Quantification with RNA-Seq Data	Yan Huang, Yin Hu, Corbin D. Jones, James N. MacLeod, Derek Y. Chiang, Yufeng Liu, Jan F. Prins, Jinze Liu	20(3): 167-187	2013	10.1089/cmb.2012.0230
Marcus Kinsella and Vineet Bafna	Modeling the Breakage-Fusion-Bridge Mechanism: Combinatorics and Cancer Genomics	148-162	10.1007/978-3-642-29627-7_13	NONE		Journal of Computational Biology	Combinatorics of the Breakage-Fusion-Bridge Mechanism	Marcus Kinsella, Vineet Bafna	19(6): 662-678	2012	10.1089/cmb.2012.0020
Yang Li, Hong-Mei Li, Paul Burns, Mark Borodovsky, Gene E. Robinson, Jian Ma	TrueSight: Self-training Algorithm for Splice Junction Detection Using RNA-seq	163-164	10.1007/978-3-642-29627-7_14	NONE		Nucleic Acids Research	TrueSight: a new algorithm for splice junction detection using RNA-seq	Yang Li, Hongmei Li‐Byarlay, Paul Burns, Mark Borodovsky, Gene E. Robinson, Jian Ma	41(4): e51	2012	10.1093/nar/gks1311
