#Year	2013										
#Location	Beijing, China										
#Dates	April 7 - 10										
#Website	https://recomb.org/recomb2013/										
#PC_Chair	Fengzhu Sun										
#Organization_Committee	Xuegong Zhang (co-chair), Minghua Deng (co-chair), Rui Jiang (co-chair), Jin Gu, Jingdong Han, Ruiqiang Li, Xuan Li, Yixue Li, Jingchu Luo, Geng Tian, Xiujie Wang, Peiheng Zhang										
#Keynotes	Scott Fraser, Takashi Gojobori, Deborah Nickerson, Nadia A. Rosenthal, Chung-I Wu, Sunny Xie										
#Proceedings_Type	LNCS										
#Proceedings_Volume	7821										
#Authors	RECOMB 2013 Paper Title (Original)	LNCS 7821 Pages	LNCS 7821 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Mukul S. Bansal, Eric J. Alm, Manolis Kellis	Reconciliation Revisited: Handling Multiple Optima When Reconciling with Duplication, Transfer, and Loss	1-13	10.1007/978-3-642-37195-0_1	NONE		Journal of Computational Biology	Reconciliation Revisited: Handling Multiple Optima when Reconciling with Duplication, Transfer, and Loss	Mukul S. Bansal, Eric J. Alm, Manolis Kellis	20(10): 738-754	2013	10.1089/cmb.2013.0073
Shijian Chen, Anqi Wang, Lei M. Li	SEME: A Fast Mapper of Illumina Sequencing Reads with Statistical Evaluation	14-29	10.1007/978-3-642-37195-0_2	NONE		Journal of Computational Biology	SEME: A Fast Mapper of Illumina Sequencing Reads with Statistical Evaluation	Shijian Chen, Anqi Wang, Lei M. Li	20(11): 847-860	2013	10.1089/cmb.2013.0111
Dong-Yeon Cho and Teresa M. Przytycka	Dissecting Cancer Heterogeneity with a Probabilistic Genotype-Phenotype Model	30-31	10.1007/978-3-642-37195-0_3	NONE		Nucleic Acids Research	Dissecting cancer heterogeneity with a probabilistic genotype-phenotype model	Dong-Yeon Cho, Teresa M. Przytycka	41(17): 8011-8020	2013	10.1093/nar/gkt577
Itamar Eskin, Farhad Hormozdiari, Lucia Conde, Jacques Riby, Chris Skibola, Eleazar Eskin, Eran Halperin	eALPS: Estimating Abundance Levels in Pooled Sequencing Using Available Genotyping Data	32-44	10.1007/978-3-642-37195-0_4	NONE		Journal of Computational Biology	eALPS: Estimating Abundance Levels in Pooled Sequencing Using Available Genotyping Data	Itamar Eskin, Farhad Hormozdiari, Lucía Conde, Jacques Riby, Christine F. Skibola, Eleazar Eskin, Eran Halperin	20(11): 861-877	2013	10.1089/cmb.2013.0105
Ali A. Faruqi, William A. Bryant, John W. Pinney	Analysis of Metabolic Evolution in Bacteria Using Whole-Genome Metabolic Models	45-57	10.1007/978-3-642-37195-0_5	NONE		Journal of Computational Biology	Analysis of Metabolic Evolution in Bacteria Using Whole-Genome Metabolic Models	William A Bryant, Ali A. Faruqi, John W. Pinney	20(10): 755-764	2013	10.1089/cmb.2013.0079
Fei Guo, Shuai Cheng Li, Wenji Ma, Lusheng Wang	Detecting Protein Conformational Changes in Interactions via Scaling Known Structures	58-74	10.1007/978-3-642-37195-0_6	NONE		Journal of Computational Biology	Detecting Protein Conformational Changes in Interactions via Scaling Known Structures	Fei Guo, Shuai Cheng Li, Wenji Ma, Lusheng Wang	20(10): 765-779	2013	10.1089/cmb.2013.0069
Dan He, Zhanyong Wang, Buhm Han, Laxmi Parida, Eleazar Eskin	IPED: Inheritance Path Based Pedigree Reconstruction Algorithm Using Genotype Data	75-87	10.1007/978-3-642-37195-0_7	NONE		Journal of Computational Biology	IPED: Inheritance Path-based Pedigree Reconstruction Algorithm Using Genotype Data	Dan He, Zhanyong Wang, Buhm Han, Laxmi Parida, Eleazar Eskin	20(10): 780-791	2013	10.1089/cmb.2013.0080
Jesper Jansson, Chuanqi Shen, Wing-Kin Sung	An Optimal Algorithm for Building the Majority Rule Consensus Tree	88-99	10.1007/978-3-642-37195-0_8	NONE		NONE	NA	NA	NA	NA	NA
Kyowon Jeong, Sangtae Kim, Pavel A. Pevzner	UniNovo: A Universal Tool for de Novo Peptide Sequencing	100-117	10.1007/978-3-642-37195-0_9	NONE		Bioinformatics	UniNovo: a universal tool for de novo peptide sequencing	Kyowon Jeong, Sangtae Kim, Pavel A. Pevzner	29(16): 1953-1962	2013	10.1093/bioinformatics/btt338
Emrah Kostem and Eleazar Eskin	Efficiently Identifying Significant Associations in Genome-Wide Association Studies	118-131	10.1007/978-3-642-37195-0_10	NONE		Journal of Computational Biology	Efficiently Identifying Significant Associations in Genome-wide Association Studies	Emrah Kostem, Eleazar Eskin	20(10): 817-830	2013	10.1089/cmb.2013.0087
Xiaowen Liu, Shawna Hengel, Si Wu, Nikola Tolić, Ljiljana Pasa-Tolić, Pavel A. Pevzner	Identification of Ultramodified Proteins Using Top-Down Spectra	132-144	10.1007/978-3-642-37195-0_11	NONE		Journal of Proteome Research	Identification of Ultramodified Proteins Using Top-Down Tandem Mass Spectra	Xiaowen Liu, Shawna Hengel, Si Wu, Nikola Tolić, Ljiljana Paša‐Tolić, Pavel A. Pevzner	12(12): 5830-5838	2013	10.1021/pr400849y
Alina Munteanu and Raluca Gordân	Distinguishing between Genomic Regions Bound by Paralogous Transcription Factors	145-157	10.1007/978-3-642-37195-0_12	NONE		NONE	NA	NA	NA	NA	NA
Sergey Nurk, Anton Bankevich, Dmitry Antipov, Alexey Gurevich, Anton Korobeynikov, Alla Lapidus, Andrey Prjibelsky, Alexey Pyshkin, Alexander Sirotkin, Yakov Sirotkin, Ramunas Stepanauskas, Jeffrey McLean, Roger Lasken, Scott R. Clingenpeel, Tanja Woyke, Glenn Tesler, Max A. Alekseyev, Pavel A. Pevzner	Assembling Genomes and Mini-metagenomes from Highly Chimeric Reads	158-170	10.1007/978-3-642-37195-0_13	NONE		Journal of Computational Biology	Assembling Single-Cell Genomes and Mini-Metagenomes From Chimeric MDA Products	Sergey Nurk, Anton Bankevich, Dmitry Antipov, Alexey Gurevich, Anton Korobeynikov, Alla Lapidus, Andrey D. Prjibelski, Alexey Pyshkin, Alexander Sirotkin, Yakov Sirotkin, Ramūnas Stepanauskas, Scott Clingenpeel, Tanja Woyke, Jeffrey S. McLean, Roger S. Lasken, Glenn Tesler, Max A. Alekseyev, Pavel A. Pevzner	20(10): 714-737	2013	10.1089/cmb.2013.0084
Layla Oesper, Ahmad Mahmoody, Benjamin J. Raphael	Inferring Intra-tumor Heterogeneity from High-Throughput DNA Sequencing Data	171-172	10.1007/978-3-642-37195-0_14	NONE		Genome Biology	THetA: inferring intra-tumor heterogeneity from high-throughput DNA sequencing data	Layla Oesper, Ahmad Mahmoody, Benjamin J. Raphael	14(7): R80	2013	10.1186/gb-2013-14-7-r80
