#Year	2014										
#Location	Pittsburgh, PA, United States										
#Dates	April 2 - 5										
#Website	https://recomb.org/recomb2014/										
#PC_Chair	Roded Sharan										
#Organization_Committee	Panayiotis (Takis) Benos (co-chair), Russell Schwartz (co-chair)										
#Keynotes	Ian T. Baldwin, Atul Butte, JJ Collins, Trey Ideker, Tom Mitchell, Sarah A. Tishkoff										
#Proceedings_Type	LNCS										
#Proceedings_Volume	8394										
#Authors	RECOMB 2014 Paper Title (Original)	LNCS 8394 Pages	LNCS 8394 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Derek Aguiar, Eric Morrow, Sorin Istrail	Tractatus: An Exact and Subquadratic Algorithm for Inferring Identical-by-Descent Multi-shared Haplotype Tracts	1-17	10.1007/978-3-319-05269-4_1	NONE		NONE					
Emily Berger, Deniz Yorukoglu, Jian Peng, Bonnie Berger	HapTree: A Novel Bayesian Framework for Single Individual Polyplotyping Using NGS Data	18-19	10.1007/978-3-319-05269-4_2	NONE		PLoS Computational Biology	HapTree: A Novel Bayesian Framework for Single Individual Polyplotyping Using NGS Data	Emily Berger, Deniz Yorukoglu, Jian Peng, Bonnie Berger	10(3): e1003502	2014	10.1371/journal.pcbi.1003502
Adam Bloniarz, Ameet Talwalkar, Jonathan Terhorst, Michael I. Jordan, David Patterson, Bin Yu, Yun S. Song	Changepoint Analysis for Efficient Variant Calling	20-34	10.1007/978-3-319-05269-4_3	NONE		NONE					
Rayan Chikhi, Antoine Limasset, Shaun Jackman, Jared T. Simpson, Paul Medvedev	On the Representation of de Bruijn Graphs	35-55	10.1007/978-3-319-05269-4_4	arXiv:1401.5383	10.48550	Journal of Computational Biology	On the Representation of De Bruijn Graphs	Rayan Chikhi, Antoine Limasset, Shaun D. Jackman, Jared T. Simpson, Paul Medvedev	22(5): 336-352	2015	10.1089/cmb.2014.0160
Hamidreza Chitsaz and Mohammad Aminisharifabad	Exact Learning of RNA Energy Parameters from Structure	56-68	10.1007/978-3-319-05269-4_5	NONE		Journal of Computational Biology	Exact Learning of RNA Energy Parameters From Structure	Hamidreza Chitsaz, Mohammad Aminisharifabad	22(6): 463-473	2015	10.1089/cmb.2014.0164
Chen-Ping Fu, Vladimir Jojic, Leonard McMillan	An Alignment-Free Regression Approach for Estimating Allele-Specific Expression Using RNA-Seq Data	69-84	10.1007/978-3-319-05269-4_6	NONE		NONE					
Adrian Guthals, Christina Boucher, Nuno Bandeira	The Generating Function Approach for Peptide Identification in Spectral Networks	85-99	10.1007/978-3-319-05269-4_7	NONE		Journal of Computational Biology	The Generating Function Approach for Peptide Identification in Spectral Networks	Adrian Guthals, Christina Boucher, Nuno Bandeira	22(5): 353-366	2014	10.1089/cmb.2014.0165
Kelley Harris, Sara Sheehan, John A. Kamm, Yun S. Song	Decoding Coalescent Hidden Markov Models in Linear Time	100-114	10.1007/978-3-319-05269-4_8	arXiv:1403.0858	10.48550	NONE					
Jan Hoinka, Alexey Berezhnoy, Zuben E. Sauna, Eli Gilboa, Teresa M. Przytycka	AptaCluster - A Method to Cluster HT-SELEX Aptamer Pools and Lessons from Its Application	115-128	10.1007/978-3-319-05269-4_9	NONE		NONE					
Hetunandan Kamisetty, Bornika Ghosh, Christopher James Langmead, Chris Bailey-Kellogg	Learning Sequence Determinants of Protein: Protein Interaction Specificity with Sparse Graphical Models	129-143	10.1007/978-3-319-05269-4_10	NONE		Journal of Computational Biology	Learning Sequence Determinants of Protein:Protein Interaction Specificity with Sparse Graphical Models	Hetunandan Kamisetty, Bornika Ghosh, Christopher J. Langmead, Chris Bailey‐Kellogg	22(6): 474-486	2015	10.1089/cmb.2014.0289
Arun S. Konagurthu, Parthan Kasarapu, Lloyd Allison, James H. Collier, Arthur M. Lesk	On Sufficient Statistics of Least-Squares Superposition of Vector Sets	144-159	10.1007/978-3-319-05269-4_11	NONE		Journal of Computational Biology	On Sufficient Statistics of Least-Squares Superposition of Vector Sets	Arun S. Konagurthu, Parthan Kasarapu, Lloyd Allison, James H. Collier, Arthur M. Lesk	22(6): 487-497	2015	10.1089/cmb.2014.0154
Henry C.M. Leung, S.M. Yiu, Francis Y.L. Chin	IDBA-MTP: A Hybrid Meta Transcriptomic Assembler Based on Protein Information	160-172	10.1007/978-3-319-05269-4_12	NONE		Journal of Computational Biology	IDBA-MTP: A Hybrid Metatranscriptomic Assembler Based on Protein Information	Henry C. M. Leung, Siu‐Ming Yiu, Francis Y. L. Chin	22(5): 367-376	2014	10.1089/cmb.2014.0139
Jianzhu Ma, Sheng Wang, Zhiyong Wang, Jinbo Xu	MRFalign: Protein Homology Detection through Alignment of Markov Random Fields	173-174	10.1007/978-3-319-05269-4_13	NONE		PLoS Computational Biology	MRFalign: Protein Homology Detection through Alignment of Markov Random Fields	Jianzhu Ma, Sheng Wang, Zhiyong Wang, Jinbo Xu	10(3): e1003500	2014	10.1371/journal.pcbi.1003500
Shaun Mahony, Matthew D. Edwards, Esteban O. Mazzoni, Richard I. Sherwood, Akshay Kakumanu, Carolyn A. Morrison, Hynek Wichterle, David K. Gifford	An Integrated Model of Multiple-Condition ChIP-Seq Data Reveals Predeterminants of Cdx2 Binding	175-176	10.1007/978-3-319-05269-4_14	NONE		PLoS Computational Biology	An Integrated Model of Multiple-Condition ChIP-Seq Data Reveals Predeterminants of Cdx2 Binding	Shaun Mahony, Matthew D. Edwards, Esteban O. Mazzoni, Richard I. Sherwood, Akshay Kakumanu, Carolyn A. Morrison, Hynek Wichterle, David K. Gifford	10(3): e1003501	2014	10.1371/journal.pcbi.1003501
Siavash Mirarab, Nam Nguyen, Tandy Warnow	PASTA: Ultra-Large Multiple Sequence Alignment	177-191	10.1007/978-3-319-05269-4_15	NONE		Journal of Computational Biology	PASTA: Ultra-Large Multiple Sequence Alignment for Nucleotide and Amino-Acid Sequences	Siavash Mirarab, Nam Nguyen, Sheng Guo, Li‐San Wang, Junhyong Kim, Tandy Warnow	22(5): 377-386	2014	10.1089/cmb.2014.0156
Arne C. Müller, Frank J. Bruggeman, Brett G. Olivier, Leen Stougie	Fast Flux Module Detection Using Matroid Theory	192-206	10.1007/978-3-319-05269-4_16	NONE		Journal of Computational Biology	Fast Flux Module Detection Using Matroid Theory	Arne C. Reimers, Frank J. Bruggeman, Brett G. Olivier, Leen Stougie	22(5): 414-424	2015	10.1089/cmb.2014.0141
Ngan Nguyen, Glenn Hickey, Daniel R. Zerbino, Brian Raney, Dent Earl, Joel Armstrong, David Haussler, Benedict Paten	Building a Pangenome Reference for a Population	207-221	10.1007/978-3-319-05269-4_17	NONE		Journal of Computational Biology	Building a Pan-Genome Reference for a Population	Ngan Nguyen, Glenn Hickey, Daniel R. Zerbino, Brian J. Raney, Dent Earl, Joel Armstrong, W. James Kent, David Haussler, Benedict Paten	22(5): 387-401	2015	10.1089/cmb.2014.0146
Keith Noto, Carla Brodley, Saeed Majidi, Diana W. Bianchi, Donna K. Slonim	CSAX: Characterizing Systematic Anomalies in eXpression Data	222-236	10.1007/978-3-319-05269-4_18	NONE		Journal of Computational Biology	CSAX: Characterizing Systematic Anomalies in eXpression Data	Keith Noto, Saeed Majidi, Andrea G. Edlow, Heather C. Wick, Diana W. Bianchi, Donna K. Slonim	22(5): 402-413	2015	10.1089/cmb.2014.0155
Murray Patterson, Tobias Marschall, Nadia Pisanti, Leo van Iersel, Leen Stougie, Gunnar W. Klau, Alexander Schönhuth	WHATSHAP: Haplotype Assembly for Future-Generation Sequencing Reads	237-249	10.1007/978-3-319-05269-4_19	bioRxiv 085050	10.1101	Journal of Computational Biology	WhatsHap: Weighted Haplotype Assembly for Future-Generation Sequencing Reads	Murray Patterson, Tobias Marschall, Nadia Pisanti, Leo van Iersel, Leen Stougie, Gunnar W. Klau, Alexander Schönhuth	22(6): 498-509	2015	10.1089/cmb.2014.0157
Benjamin J. Raphael and Fabio Vandin	Simultaneous Inference of Cancer Pathways and Tumor Progression from Cross-Sectional Mutation Data	250-264	10.1007/978-3-319-05269-4_20	NONE		Journal of Computational Biology	Simultaneous Inference of Cancer Pathways and Tumor Progression from Cross-Sectional Mutation Data	Benjamin J. Raphael, Fabio Vandin	22(6): 510-527	2015	10.1089/cmb.2014.0161
Yana Safonova, Anton Bankevich, Pavel A. Pevzner	DIPSPADES: Assembler for Highly Polymorphic Diploid Genomes	265-279	10.1007/978-3-319-05269-4_21	NONE		Journal of Computational Biology	dipSPAdes: Assembler for Highly Polymorphic Diploid Genomes	Yana Safonova, Anton Bankevich, Pavel A. Pevzner	22(6): 528-545	2015	10.1089/cmb.2014.0153
Mingfu Shao, Yu Lin, Bernard Moret	An Exact Algorithm to Compute the DCJ Distance for Genomes with Duplicate Genes	280-292	10.1007/978-3-319-05269-4_22	NONE		Journal of Computational Biology	An Exact Algorithm to Compute the Double-Cut-and-Join Distance for Genomes with Duplicate Genes	Mingfu Shao, Yu Lin, Bernard M. E. Moret	22(5): 425-435	2014	10.1089/cmb.2014.0096
