#Year	2015										
#Location	Warsaw, Poland										
#Dates	April 12 - 15										
#Website	https://recomb.org/recomb2015/										
#PC_Chair	Teresa M. Przytycka										
#Organization_Committee	Jerzy Tiuryn (co-chair), Bartek Wilczyński (co-chair), Paweł Bednarz, Agata Charzyńska, Norbert Dojer, Anna Gambin, Paweł Górecki, Ilona Grabowicz, Julia Herman-Iżycka, Aleksander Jankowski, Agnieszka Mykowiecka, Ewa Szczurek, Irina Tuszyńska, Damian Wójtowicz, Rafał Zaborowski										
#Keynotes	Madan Babu, Bonnie Berger, M. Magda Konarska, Michael Levitt, Bas van Steensel, Wacław Szybalski										
#Proceedings_Type	LNCS										
#Proceedings_Volume	9029										
#Authors	RECOMB 2015 Paper Title (Original)	LNCS 9029 Pages	LNCS 9029 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Srinivas Aluru, Alberto Apostolico, Sharma V. Thankachan	Efficient Alignment Free Sequence Comparison with Bounded Mismatches	1-12	10.1007/978-3-319-16706-0_1	NONE		Journal of Computational Biology	A Provably Efficient Algorithm for the k-Mismatch Average Common Substring Problem	Sharma V. Thankachan, Alberto Apostolico, Srinivas Aluru	23(6): 472-482	2016	10.1089/cmb.2015.0235
Naama Amir, Dan Cohen, Haim J. Wolfson	DockStar: A Novel ILP Based Integrative Method for Structural Modelling of Multimolecular Protein Complexes	13-15	10.1007/978-3-319-16706-0_2	NONE		Bioinformatics	DockStar: a novel ILP-based integrative method for structural modeling of multimolecular protein complexes	Naama Amir, Dan Cohen, Haim J. Wolfson	31(17): 2801-2807	2015	10.1093/bioinformatics/btv270
Ilan Ben-Bassat and Benny Chor	CRISPR Detection from Short Reads Using Partial Overlap Graphs	16-27	10.1007/978-3-319-16706-0_3	NONE		Journal of Computational Biology	CRISPR Detection From Short Reads Using Partial Overlap Graphs	Ilan Ben-Bassat, Benny Chor	23(6): 461-471	2016	10.1089/cmb.2015.0226
Emily Berger, Deniz Yorukoglu, Bonnie Berger	HapTree-X: An Integrative Bayesian Framework for Haplotype Reconstruction from Transcriptome and Genome Sequencing Data	28-29	10.1007/978-3-319-16706-0_4	NONE		Nature Communications	Improved haplotype inference by exploiting long-range linking and allelic imbalance in RNA-seq datasets	Emily R. Berger, Deniz Yorukoglu, Lillian Zhang, Sarah K. Nyquist, Alex K. Shalek, Manolis Kellis, Ibrahim Numanagić, Bonnie Berger	11: 4662	2020	10.1038/s41467-020-18320-z
Alex Bishara, Yuling Liu, Dorna Kashef-Haghighi, Ziming Weng, Daniel E. Newburger, Robert West, Arend Sidow, Serafim Batzoglou	Read Clouds Uncover Variation in Complex Regions of the Human Genome	30-31	10.1007/978-3-319-16706-0_5	NONE		Genome Research	Read clouds uncover variation in complex regions of the human genome	Alex Bishara, Yuling Liu, Ziming Weng, Dorna Kashef-Haghighi, Daniel E. Newburger, Robert West, Arend Sidow, Serafim Batzoglou	25(10): 1570-1580	2015	10.1101/gr.191189.115
Surojit Biswas, Meredith McDonald, Derek S. Lundberg, Jeffery L. Dangl, Vladimir Jojic	Learning Microbial Interaction Networks from Metagenomic Count Data	32-43	10.1007/978-3-319-16706-0_6	arXiv:1412.0207	10.48550	Journal of Computational Biology	Learning Microbial Interaction Networks from Metagenomic Count Data	Surojit Biswas, Meredith McDonald, Derek S. Lundberg, Jeffery L. Dangl, Vladimir Jojic	23(6): 526-535	2016	10.1089/cmb.2016.0061
Stefano R. Bonissone and Pavel A. Pevzner	Immunoglobulin Classification Using the Colored Antibody Graph	44-59	10.1007/978-3-319-16706-0_7	NONE		Journal of Computational Biology	Immunoglobulin Classification Using the Colored Antibody Graph	Stefano R. Bonissone, Pavel A. Pevzner	23(6): 483-494	2016	10.1089/cmb.2016.0010
Stefan Canzar, Sandro Andreotti, David Weese, Knut Reinert, Gunnar W. Klau	CIDANE: Comprehensive Isoform Discovery and Abundance Estimation	60-61	10.1007/978-3-319-16706-0_8			Genome Biology	CIDANE: comprehensive isoform discovery and abundance estimation	Stefan Canzar, Sandro Andreotti, David Weese, Knut Reinert, Gunnar W. Klau	17: 16	2016	10.1186/s13059-015-0865-0
Hyunghoon Cho, Bonnie Berger, Jian Peng	Diffusion Component Analysis: Unraveling Functional Topology in Biological Networks	62-64	10.1007/978-3-319-16706-0_9	arXiv:1504.02719	10.48550	Cell Systems	Compact Integration of Multi-Network Topology for Functional Analysis of Genes	Hyunghoon Cho, Bonnie Berger, Jian Peng	3(6): 540-548	2016	10.1016/j.cels.2016.10.017
Kai Dührkop and Sebastian Böcker	Fragmentation Trees Reloaded	65-79	10.1007/978-3-319-16706-0_10	arXiv:1412.1929	10.48550	Journal of Cheminformatics	Fragmentation trees reloaded	Kai Dührkop, Sebastian Böcker	8: 5	2016	10.1186/s13321-016-0116-8
Rasmus Fonseca, Henry van den Bedem, Julie Bernauer	KGSrna: Efficient 3D Kinematics-Based Sampling for Nucleic Acids	80-95	10.1007/978-3-319-16706-0_11	NONE		Journal of Computational Biology	Probing RNA Native Conformational Ensembles with Structural Constraints	Rasmus Fonseca, Henry van den Bedem, Julie Bernauer	23(5): 362-371	2016	10.1089/cmb.2015.0201
Philippe Gambette, Andreas D.M. Gunawan, Anthony Labarre, Stéphane Vialette, Louxin Zhang	Locating a Tree in a Phylogenetic Network in Quadratic Time	96-107	10.1007/978-3-319-16706-0_12	arXiv:1502.03379	10.48550	NONE					
Huichao Gong, Sai Zhang, Jiangdian Wang, Haipeng Gong, Jianyang Zeng	Constructing Structure Ensembles of Intrinsically Disordered Proteins from Chemical Shift Data	108-121	10.1007/978-3-319-16706-0_13	NONE		Journal of Computational Biology	Constructing Structure Ensembles of Intrinsically Disordered Proteins from Chemical Shift Data	Huichao Gong, Sai Zhang, Jiangdian Wang, Haipeng Gong, Jianyang Zeng	23(5): 300-310	2016	10.1089/cmb.2015.0184
Mark A. Hallen and Bruce R. Donald	COMETS (Constrained Optimization of Multistate Energies by Tree Search): A Provable and Efficient Algorithm to Optimize Binding Affinity and Specificity with Respect to Sequence	122-135	10.1007/978-3-319-16706-0_14	NONE		Journal of Computational Biology	COMETS (Constrained Optimization of Multistate Energies by Tree Search): A Provable and Efficient Protein Design Algorithm to Optimize Binding Affinity and Specificity with Respect to Sequence	Mark A. Hallen, Bruce R. Donald	23(5): 311-321	2016	10.1089/cmb.2015.0188
