#Year	2016										
#Location	Santa Monica, CA, United States										
#Dates	April 17 - 21										
#Website	https://recomb.org/recomb2016/										
#PC_Chair	Mona Singh										
#Organization_Committee	Eleazar Eskin (chair)										
#Keynotes	Peter S. Kim, Rob Knight, Leonid Kruglyak, Phil Bradley, Teresa Przytycka, Karen Adelman										
#Proceedings_Type	LNCS										
#Proceedings_Volume	9649										
#Authors	RECOMB 2016 Paper Title (Original)	LNCS 9649 Pages	LNCS 9649 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Chandler Zuo, Kailei Chen, Sündüz Keleş	A MAD-Bayes Algorithm for State-Space Inference and Clustering with Application to Querying Large Collections of ChIP-Seq Data Sets	19-36	10.1007/978-3-319-31957-5_2	NONE		Journal of Computational Biology	A MAD-Bayes Algorithm for State-Space Inference and Clustering with Application to Querying Large Collections of ChIP-Seq Data Sets	Chandler Zuo, Kailei Chen, Sündüz Keleş	24(6): 472-485	2017	10.1089/cmb.2016.0138
Hao Wang, Joel McManus, Carl Kingsford	Accurate Recovery of Ribosome Positions Reveals Slow Translation of Wobble-Pairing Codons in Yeast	37-52	10.1007/978-3-319-31957-5_3	NONE		Journal of Computational Biology	Accurate Recovery of Ribosome Positions Reveals Slow Translation of Wobble-Pairing Codons in Yeast	Hao Wang, Joel McManus, Carl Kingsford	24(6): 486-500	2017	10.1089/cmb.2016.0147
Meghana Kshirsagar, Jaime G. Carbonell, Judith Klein-Seetharaman, Keerthiram Murugesan	Multitask Matrix Completion for Learning Protein Interactions Across Diseases	53-64	10.1007/978-3-319-31957-5_4	NONE		Journal of Computational Biology	Multitask Matrix Completion for Learning Protein Interactions Across Diseases	Meghana Kshirsagar, Keerthiram Murugesan, Jaime G. Carbonell, Judith Klein-Seetharaman	24(6): 501-514	2017	10.1089/cmb.2016.0201
Simona Cristea, Jack Kuipers, Niko Beerenwinkel	pathTiMEx: Joint Inference of Mutually Exclusive Cancer Pathways and Their Dependencies in Tumor Progression	65-82	10.1007/978-3-319-31957-5_5	NONE		Journal of Computational Biology	pathTiMEx: joint inference of mutually exclusive cancer pathways and their progression dynamics	Simona Cristea, Jack Kuipers, Niko Beerenwinkel	24(6): 603-615	2017	10.1089/cmb.2016.0171
Nilgun Donmez, Salem Malikic, Alexander W. Wyatt, Martin E. Gleave, Colin C. Collins, S. Cenk Sahinalp	Clonality Inference from Single Tumor Samples Using Low Coverage Sequence Data	83-94	10.1007/978-3-319-31957-5_6	NONE		Journal of Computational Biology	Clonality Inference from Single Tumor Samples Using Low-Coverage Sequence Data	Nilgun Donmez, Salem Malikic, Alexander W. Wyatt, Martin E. Gleave, Colin C. Collins, S. Cenk Sahinalp	24(6): 515-523	2017	10.1089/cmb.2016.0148
Nicolo Fusi and Jennifer Listgarten	Flexible Modelling of Genetic Effects on Function-Valued Traits	95-110	10.1007/978-3-319-31957-5_7	NONE		Journal of Computational Biology	Flexible Modeling of Genetic Effects on Function-Valued Traits	Nicolò Fusi, Jennifer Listgarten	24(6): 524-535	2017	10.1089/cmb.2016.0174
Ahmed Sobih, Alexandru I. Tomescu, Veli Mäkinen	MetaFlow: Metagenomic Profiling Based on Whole-Genome Coverage Analysis with Min-Cost Flows	111-121	10.1007/978-3-319-31957-5_8	bioRxiv 038208	10.1101	NONE	NA	NA	NA	NA	NA
Mark A. Hallen, Jonathan D. Jou, Bruce R. Donald	LUTE (Local Unpruned Tuple Expansion): Accurate Continuously Flexible Protein Design with General Energy Functions and Rigid-rotamer-like Efficiency	122-136	10.1007/978-3-319-31957-5_9	NONE		Journal of Computational Biology	LUTE (Local Unpruned Tuple Expansion): Accurate Continuously Flexible Protein Design with General Energy Functions and Rigid-Rotamer-Like Efficiency	Mark A. Hallen, Jonathan D. Jou, Bruce R. Donald	24(6): 536-546	2017	10.1089/cmb.2016.0136
David Pellow, Darya Filippova, Carl Kingsford	Improving Bloom Filter Performance on Sequence Data Using k-mer Bloom Filters	137-151	10.1007/978-3-319-31957-5_10	NONE		Journal of Computational Biology	Improving Bloom Filter Performance on Sequence Data Using k-mer Bloom Filters	David Pellow, Darya Filippova, Carl Kingsford	24(6): 547-557	2017	10.1089/cmb.2016.0155
Alexandru I. Tomescu and Paul Medvedev	Safe and Complete Contig Assembly Via Omnitigs	152-163	10.1007/978-3-319-31957-5_11	arXiv:1601.02932	10.48550	Journal of Computational Biology	Safe and complete contig assembly through omnitigs	Alexandru I. Tomescu, Paul Medvedev	24(6): 590-602	2017	10.1089/cmb.2016.0141
