#Year	2017										
#Location	Hong Kong										
#Dates	May 3 - 7										
#Website	https://recomb.org/recomb2017/										
#PC_Chair	S. Cenk Sahinalp										
#Organization_Committee	Siu Ming Yiu (chair), Kevin Yip, Alexander Schoenhuth, Paul Medvedev										
#Keynotes	Colin Collins, Joe Gray, Laxmi Parida, Ben Raphael, Michael Schnall-Levin, Jun Wang										
#Proceedings_Type	LNCS										
#Proceedings_Volume	10229										
#Authors	RECOMB 2017 Paper Title (Original)	LNCS 10229 Pages	LNCS 10229 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Dan DeBlasio and John Kececioglu	Boosting Alignment Accuracy by Adaptive Local Realignment	1-17	10.1007/978-3-319-56970-3_1	bioRxiv 063131	10.1101	NONE					
Wontack Han, Mingjie Wang, Yuzhen Ye	A Concurrent Subtractive Assembly Approach for Identification of Disease Associated Sub-metagenomes	18-33	10.1007/978-3-319-56970-3_2	NONE		NONE					
David Haussler, Maciej Smuga-Otto, Benedict Paten, Adam M. Novak, Sergei Nikitin, Maria Zueva, Dmitrii Miagkov	A Flow Procedure for the Linearization of Genome Sequence Graphs	34-49	10.1007/978-3-319-56970-3_3	bioRxiv 101501	10.1101	Journal of Computational Biology	A Flow Procedure for Linearization of Genome Sequence Graphs	David Haussler, Maciej Smuga-Otto, Jordan M. Eizenga, Benedict Paten, Adam M. Novak, Sergei Nikitin, Maria Zueva, Dmitrii Miagkov	25(7): 664-676	2018	10.1089/cmb.2017.0248
Guillaume Holley, Roland Wittler, Jens Stoye, Faraz Hach	Dynamic Alignment-Free and Reference-Free Read Compression	50-65	10.1007/978-3-319-56970-3_4	NONE		Journal of Computational Biology	Dynamic Alignment-Free and Reference-Free Read Compression	Guillaume Holley, Roland Wittler, Jens Stoye, Faraz Hach	25(7): 825-836	2018	10.1089/cmb.2018.0068
Chirag Jain, Alexander Dilthey, Sergey Koren, Srinivas Aluru, Adam M. Phillippy	A Fast Approximate Algorithm for Mapping Long Reads to Large Reference Databases	66-81	10.1007/978-3-319-56970-3_5	bioRxiv 103812	10.1101	Journal of Computational Biology	A Fast Approximate Algorithm for Mapping Long Reads to Large Reference Databases	Chirag Jain, Alexander T. Dilthey, Sergey Koren, Srinivas Aluru, Adam M. Phillippy	25(7): 766-779	2018	10.1089/cmb.2018.0036
Jesper Jansson, Andrzej Lingas, Ramesh Rajaby, Wing-Kin Sung	Determining the Consistency of Resolved Triplets and Fan Triplets	82-98	10.1007/978-3-319-56970-3_6	NONE		Journal of Computational Biology	Determining the Consistency of Resolved Triplets and Fan Triplets	Jesper Jansson, Andrzej Lingas, Ramesh Rajaby, Wing-Kin Sung	25(7): 740-754	2018	10.1089/cmb.2017.0256
Uri Keich and William Stafford Noble	Progressive Calibration and Averaging for Tandem Mass Spectrometry Statistical Confidence Estimation: Why Settle for a Single Decoy?	99-116	10.1007/978-3-319-56970-3_7	NONE		NONE					
Mark J. Chaisson, Sudipto Mukherjee, Sreeram Kannan, Evan E. Eichler	Resolving Multicopy Duplications de novo Using Polyploid Phasing	117-133	10.1007/978-3-319-56970-3_8	NONE		NONE					
Robert Osazuwa Ness, Karen Sachs, Parag Mallick, Olga Vitek	A Bayesian Active Learning Experimental Design for Inferring Signaling Networks	134-156	10.1007/978-3-319-56970-3_9	NONE		Journal of Computational Biology	A Bayesian Active Learning Experimental Design for Inferring Signaling Networks	Robert Osazuwa Ness, Karen Sachs, Parag Mallick, Olga Vitek	25(7): 709-725 	2018	10.1089/cmb.2017.0247
Adegoke A. Ojewole, Jonathan D. Jou, Vance G. Fowler, Bruce R. Donald	BBK* (Branch and Bound over K*): A Provable and Efficient Ensemble-Based Algorithm to Optimize Stability and Binding Affinity over Large Sequence Spaces	157-172	10.1007/978-3-319-56970-3_10	NONE		Journal of Computational Biology	BBK* (Branch and Bound Over K*): A Provable and Efficient Ensemble-Based Protein Design Algorithm to Optimize Stability and Binding Affinity Over Large Sequence Spaces	Adegoke A. Ojewole, Jonathan D. Jou, Vance G. Fowler, Bruce Randall Donald	25(7): 726-739	2018	10.1089/cmb.2017.0267
Benedict Paten, Adam M. Novak, Erik Garrison, Glenn Hickey	Superbubbles, Ultrabubbles and Cacti	173-189	10.1007/978-3-319-56970-3_11	bioRxiv 101493	10.1101	Journal of Computational Biology	Superbubbles, Ultrabubbles, and Cacti	Benedict Paten, Jordan M. Eizenga, Yohei M. Rosen, Adam M. Novak, Erik Garrison, Glenn Hickey	25(7): 649-663	2018	10.1089/cmb.2017.0251
Christopher Pockrandt, Marcel Ehrhardt, Knut Reinert	EPR-Dictionaries: A Practical and Fast Data Structure for Constant Time Searches in Unidirectional and Bidirectional FM Indices	190-206	10.1007/978-3-319-56970-3_12	arXiv:1608.02413	10.48550	NONE					
Elior Rahmani, Regev Schweiger, Liat Shenhav, Eleazar Eskin, Eran Halperin	A Bayesian Framework for Estimating Cell Type Composition from DNA Methylation Without the Need for Methylation Reference	207-223	10.1007/978-3-319-56970-3_13	bioRxiv 112417	10.1101	Genome Biology	BayesCCE: a Bayesian framework for estimating cell-type composition from DNA methylation without the need for methylation reference	Elior Rahmani, Regev Schweiger, Liat Shenhav, Theodora Wingert, Ira Hofer, Eilon Gabel, Eleazar Eskin, Eran Halperin	19: 141 	2018	10.1186/s13059-018-1513-2
Ashok Rajaraman and Jian Ma	Towards Recovering Allele-Specific Cancer Genome Graphs	224-240	10.1007/978-3-319-56970-3_14	NONE		Journal of Computational Biology	Toward Recovering Allele-specific Cancer Genome Graphs	Ashok Rajaraman, Jian Ma	25(7): 624-636	2018	10.1089/cmb.2018.0022
Regev Schweiger, Eyal Fisher, Elior Rahmani, Liat Shenhav, Saharon Rosset, Eran Halperin	Using Stochastic Approximation Techniques to Efficiently Construct Confidence Intervals for Heritability	241-256	10.1007/978-3-319-56970-3_15	NONE		Journal of Computational Biology	Using Stochastic Approximation Techniques to Efficiently Construct Confidence Intervals for Heritability	Regev Schweiger, Eyal Fisher, Elior Rahmani, Liat Shenhav, Saharon Rosset, Eran Halperin	25(7): 794-808	2018	10.1089/cmb.2018.0047
Brad Solomon and Carl Kingsford	Improved Search of Large Transcriptomic Sequencing Databases Using Split Sequence Bloom Trees	257-271	10.1007/978-3-319-56970-3_16	bioRxiv 086561	10.1101	Journal of Computational Biology	Improved Search of Large Transcriptomic Sequencing Databases Using Split Sequence Bloom Trees	Brad Solomon and Carl Kingsford	25(7): 755-765 	2018	10.1089/cmb.2017.0265
Chen Sun, Robert S. Harris, Rayan Chikhi, Paul Medvedev	AllSome Sequence Bloom Trees	272-286	10.1007/978-3-319-56970-3_17	bioRxiv 090464	10.1101	Journal of Computational Biology	AllSome Sequence Bloom Trees	Chen Sun, Robert S. Harris, Rayan Chikhi, Paul Medvedev	25(5): 467-479	2018	10.1089/cmb.2017.0258
