#Year	2018										
#Location	Paris, France										
#Dates	April 21 - 24										
#Website	https://recomb.org/recomb2018/										
#PC_Chair	Benjamin J. Raphael										
#Organization_Committee	Yann Ponty (co-chair), Mireille Regnier (co-chair), Alessandra Carbone, Celine Scornavacca, Eric Tannier, Hélène Touzet, Stéphane Vialette										
#Keynotes	Peter Campbell, Ron Shamir, Sarah Teichmann, Nevan Krogan, Francois Spitz, Tandy Warnow										
#Proceedings_Type	LNCS										
#Proceedings_Volume	10812										
#Authors	RECOMB 2018 Paper Title (Original)	LNCS 10812 Pages	LNCS 10812 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Anton Bankevich and Pavel Pevzner	Long Reads Enable Accurate Estimates of Complexity of Metagenomes	1-20	10.1007/978-3-319-89929-9_1	NONE		Cell Systems	Joint Analysis of Long and Short Reads Enables Accurate Estimates of Microbiome Complexity	Anton Bankevich and Pavel Pevzner	7(2):192–200.e3	2018	10.1016/j.cels.2018.06.009
Shounak Chakraborty, Stefan Canzar, Tobias Marschall, Marcel H. Schulz	Chromatyping: Reconstructing Nucleosome Profiles from NOME Sequencing Data	21-36	10.1007/978-3-319-89929-9_2	NONE		Journal of Computational Biology	Chromatyping: Reconstructing Nucleosome Profiles from NOMe Sequencing Data	Shounak Chakraborty, Stefan Canzar, Tobias Marschall, Marcel H. Schulz	27(3):330-341	2020	10.1089/cmb.2019.0457
Ali Ebrahimpour Boroojeny, Akash Shrestha, Ali Sharifi-Zarchi, Suzanne Renick Gallagher, S. Cenk Sahinalp, Hamidreza Chitsaz	GTED: Graph Traversal Edit Distance	37-53	10.1007/978-3-319-89929-9_3	NONE		Journal of Computational Biology	Graph Traversal Edit Distance and Extensions	Ali Ebrahimpour Boroojeny, Akash Shrestha, Ali Sharifi-Zarchi, Suzanne Renick Gallagher, S. Cenk Sahinalp, and Hamidreza Chitsaz	27(3):317-329	2020	10.1089/cmb.2019.0511
Cyril Galitzine, Pierre M. Jean Beltran, Ileana M. Cristea, Olga Vitek	Statistical Inference of Peroxisome Dynamics	54-74	10.1007/978-3-319-89929-9_4	NONE		NONE					
Franziska Görtler, Stefan Solbrig, Tilo Wettig, Peter J. Oefner, Rainer Spang, Michael Altenbuchinger	Loss-Function Learning for Digital Tissue Deconvolution	75-89	10.1007/978-3-319-89929-9_5	arXiv:1801.08447	10.4855	Journal of Computational Biology	Loss-Function Learning for Digital Tissue Deconvolution	Franziska Görtler, Marian Schön, Jakob Simeth, Stefan Solbrig, Tilo Wettig, Peter J. Oefner, Rainer Spang, and Michael Altenbuchinger	27(3):342-355	2020	10.1089/cmb.2019.0462
Tyler A. Joseph and Itsik Pe'er	Inference of Population Structure from Ancient DNA	90-104	10.1007/978-3-319-89929-9_6	bioRxiv 261131	10.1101	NONE					
Anna Kuosmanen, Topi Paavilainen, Travis Gagie, Rayan Chikhi, Alexandru Tomescu, Veli Mäkinen	Using Minimum Path Cover to Boost Dynamic Programming on DAGs: Co-linear Chaining Extended	105-121	10.1007/978-3-319-89929-9_7	arXiv:1705.08754	10.4855	NONE					
Gary Larson, Jeffrey L. Thorne, Scott Schmidler	Modeling Dependence in Evolutionary Inference for Proteins	122-137	10.1007/978-3-319-89929-9_8	NONE		Journal of Computational Biology	Incorporating Nearest-Neighbor Site Dependence into Protein Evolution Models	Gary Larson, Jeffrey L. Thorne, and Scott Schmidler	27(3):361-375	2020	10.1089/cmb.2019.0500
Sujun Li, Alex DeCourcy, Haixu Tang	Constrained De Novo Sequencing of neo-Epitope Peptides Using Tandem Mass Spectrometry	138-153	10.1007/978-3-319-89929-9_9	NONE		NONE					
Yaron Orenstein	Reverse de Bruijn: Utilizing Reverse Peptide Synthesis to Cover All Amino Acid k-mers	154-166	10.1007/978-3-319-89929-9_10	NONE		Journal of Computational Biology	Reverse de Bruijn: Utilizing Reverse Peptide Synthesis to Cover All Amino Acid k-mers	Yaron Orenstein	27(3):376-385	2020	10.1089/cmb.2019.0448
