Authors	Title (RECOMB 2021 Version)	LNCS Pages	LNCS DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Ali Pazokitoroudi, Andy Dahl, Noah Zaitlen, Saharon Rosset, Sriram Sankararaman	Biobank-scale estimation of the proportion of trait variance explained by gene-environment interactions	NONE	NONE	NONE	American Journal of Human Genetics	A scalable and robust variance components method reveals insights into the architecture of gene-environment interactions underlying complex traits	Ali Pazokitoroudi, Zhengtong Liu, Andrew Dahl, Noah Zaitlen, Saharon Rosset, Sriram Sankararaman	111(7): 1462-1480	2024	10.1016/j.ajhg.2024.05.015
Amir Joudaki, Gunnar Ratsch, Andre Kahles	Fast Alignment-Free Similarity Estimation By Tensor Sketching	NONE	NONE	bioRxiv 2020.11.13.381814	NONE					
Anton Bankevich, Andrey Bzikadze, Mikhail Kolmogorov, Pavel Pevzner	Assembling Long Accurate Reads Using de Bruijn Graphs	NONE	NONE	bioRxiv 2020.12.10.420448	Nature Biotechnology	Multiplex de Bruijn graphs enable genome assembly from long, high-fidelity reads	Anton Bankevich, Andrey V. Bzikadze, Mikhail Kolmogorov, Dmitry Antipov, Pavel A. Pevzner	40: 1075–1081	2022	10.1038/s41587-022-01220-6
Baraa Orabi, Brian McConeghy, Cedric Chauve, Faraz Hach	Freddie: Annotation-independent Detection and Discovery of Transcriptomic Alternative Splicing Isoforms	NONE	NONE	bioRxiv 2021.01.20.427493	Nucleic Acids Research	Freddie: annotation-independent detection and discovery of transcriptomic alternative splicing isoforms using long-read sequencing	Baraa Orabi, Ning Xie, Brian McConeghy, Xuesen Dong, Cedric Chauve, Faraz Hach	51(2):e11	2023	10.1093/nar/gkac1112
Barış Ekim, Bonnie Berger, Rayan Chikhi	Minimizer-space de Bruijn Graphs	NONE	NONE	bioRxiv 2021.06.09.447586	Cell Systems	Minimizer-space de Bruijn graphs: Whole-genome assembly of long reads in minutes on a personal computer	Barış Ekim, Bonnie Berger, Rayan Chikhi	12(10):958-968.e6	2021	10.1016/j.cels.2021.08.009
Benjamin Chidester, Tianming Zhou, Jian Ma	SPICEMIX: Integrative single-cell spatial modeling for inferring cell identity	NONE	NONE	bioRxiv 2020.11.29.383067	Nature Genetics	SPICEMIX enables integrative single-cell spatial modeling of cell identity	Benjamin Chidester, Tianming Zhou, Shahul Alam, Jian Ma	55(1):78-88	2023	10.1038/s41588-022-01256-z
Carlos Oliver, Vincent Mallet, Pericles Philippopoulos, William L Hamilton, Jerome Waldispuhl	VeRNAl: Mining RNA Structures for Fuzzy Base Pairing Network Motifs	NONE	NONE	arXiv:2009.00664	Bioinformatics	Vernal: a tool for mining fuzzy network motifs in RNA	Carlos Oliver, Vincent Mallet, Pericles Philippopoulos, William L Hamilton, Jerome Waldispuhl	38(4): 970-976	2022	10.1093/bioinformatics/btab768
Damian Wójtowicz, Jan Hoinka, Bayarbaatar Amgalan, Yoo-Ah Kim, Teresa M Przytycka	RepairSig: Deconvolution of DNA damage and repair contributions to the mutational landscape of cancer	NONE	NONE	bioRxiv 2020.11.21.392878	Cell Systems	RepairSig: Deconvolution of DNA damage and repair contributions to the mutational landscape of cancer	Damian Wójtowicz, Jan Hoinka, Bayarbaatar Amgalan, Yoo-Ah Kim, Teresa M Przytycka	12(10):994-1003.e4	2021	10.1016/j.cels.2021.07.004
Diego Santoro, Leonardo Pellegrina, Fabio Vandin	SPRISS: Approximating Frequent k-mers by Sampling Reads, and Applications	NONE	NONE	arXiv:2101.07117	Bioinformatics	SPRISS: approximating frequent k-mers by sampling reads, and applications	Diego Santoro, Leonardo Pellegrina, Matteo Comin, Fabio Vandin 	38(13):3343–3350	2022	10.1093/bioinformatics/btac180
Enrico Seiler, Svenja Mehringer, Mitra Darvish, Etienne Turc, Knut Reinert	Raptor: A fast and space-efficient pre-filter for querying very large collections of nucleotide sequences	NONE	NONE	bioRxiv 2020.10.08.330985	iScience	Raptor: A fast and space-efficient pre-filter for querying very large collections of nucleotide sequences	Enrico Seiler, Svenja Mehringer, Mitra Darvish, Etienne Turc, Knut Reinert	24(7):102782	2021	j.isci.2021.102782
