Authors	Title (RECOMB 2023 Version)	LNCS 13976 Pages	LNCS 13976 DOI	Preprint	Journal	Title (Journal version)	Journal Authors	Issue and Pages	Journal Year	Journal DOI
Runpeng Luo, Yu Lin	VStrains: de novo reconstruction of viral strains via iterative path extraction from assembly graphs	3-20	10.1007/978-3-031-29119-7_1	bioRxiv 2022.10.21.513181	NONE					
Jason Fan, Jamshed Khan, Giulio Ermanno Pibiri, Robert Patro	Spectrum preserving tilings enable sparse and modular reference indexing	21-40	10.1007/978-3-031-29119-7_2	bioRxiv 2022.10.27.513881	NONE					
Yasamin Tabatabaee, Sebastien Roch, Tandy Warnow	Statistically Consistent Rooting of Species Trees under the Multispecies Coalescent Model	41-57	10.1007/978-3-031-29119-7_3	bioRxiv 2022.10.26.513897	Journal of Computational Biology	QR-STAR: A Polynomial-Time Statistically Consistent Method for Rooting Species Trees Under the Coalescent	Yasamin Tabatabaee, Sebastien Roch, Tandy Warnow	30(11): 1146–1181	2023	10.1089/cmb.2023.0185
Ghanshyam Chandra, Chirag Jain	Sequence to graph alignment using gap-sensitive co-linear chaining	58-73	10.1007/978-3-031-29119-7_4	bioRxiv 2022.08.29.505691	Journal of Computational Biology	Gap-Sensitive Colinear Chaining Algorithms for Acyclic Pangenome Graphs	Ghanshyam Chandra, Chirag Jain	30(11): 1182–1197	2023	10.1089/cmb.2023.0186
Xiaogen Zhou, Zhiqiang Li, Tong Tong	DM-Net: a dual-model network for automated biomedical image diagnosis	74-84	10.1007/978-3-031-29119-7_5	NONE	NONE					
Bing-Xue Du, Yi Xu, Siu Ming Yiu, Hui Yu, Jian-Yu Shi	MTGL-ADMET: A Novel Multi-Task Graph Learning Framework for ADMET Prediction Enhanced by Status-Theory and Maximum Flow	85-103	10.1007/978-3-031-29119-7_6	NONE	NONE					
Shikha Mallick, Sahely Bhadra	CDGCN: Conditional de novo Drug generative model using Graph Convolution Networks	104-119	10.1007/978-3-031-29119-7_7	NONE	NONE					
Soufiane Mourragui, Marco Loog, Mirrelijn van Nee, Mark van de Wiel, Marcel Reinders, Lodewyk Wessels	Percolate: an exponential family JIVE model to design DNA-based predictors of drug response	120-138	10.1007/978-3-031-29119-7_8	bioRxiv 2022.09.11.507473	NONE					
Weizhong Zheng, John H.C. Fong, Yuk Kei Wan, Athena H.Y. Chu, Yuanhua Huang, Alan S.L. Wong, Joshua Ho	Translation rate prediction and regulatory motif discovery with multi-task learning	139-154	10.1007/978-3-031-29119-7_9	bioRxiv 2022.05.03.490410	NONE					
Spencer Krieger, John Kececioglu	Computing shortest hyperpaths for pathway inference in cellular reaction networks	155-173	10.1007/978-3-031-29119-7_10	NONE	Journal of Computational Biology	Shortest Hyperpaths in Directed Hypergraphs for Reaction Pathway Inference	Spencer Krieger, John Kececioglu	30(11): 1198–1225	2023	10.1089/cmb.2023.0242
Ziqi Chen, Martin Min, Hongyu Guo, Chao Cheng, Trevor Clancy, Xia Ning	T-Cell Receptor Optimization with Reinforcement Learning and Mutation Polices for Precision Immunotherapy	174-192	10.1007/978-3-031-29119-7_11	arXiv:2303.02162	NONE					
Yunheng Han, Erin K. Molloy	TREE-QMC: Improving quartet graph construction for scalable and accurate species tree estimation from gene trees	195-196	10.1007/978-3-031-29119-7	bioRxiv 2022.06.25.497608	Genome Research	Improving quartet graph construction for scalable and accurate species tree estimation from gene trees	Yunheng Han, Erin K. Molloy	33(7):1042-1052	2023	10.1101/gr.277629.122
Baris Ekim, Kristoffer Sahlin, Paul Medvedev, Bonnie Berger, Rayan Chikhi	mapquik: Efficient low-divergence mapping of long reads in minimizer space	197-199	10.1007/978-3-031-29119-7	bioRxiv 2022.12.23.521809	Genome Research	Efficient mapping of accurate long reads in minimizer space with mapquik	Baris Ekim, Kristoffer Sahlin, Paul Medvedev, Bonnie Berger, Rayan Chikhi	33(7): 1188-1197	2023	10.1101/gr.277679.123
Mahmudur Rahman Hera, N. Tessa Pierce-Ward, David Koslicki	Deriving confidence intervals for mutation rates across a wide range of evolutionary distances using FracMinHash	200-202	10.1007/978-3-031-29119-7	bioRxiv 2022.01.11.475870	Genome Research	Deriving confidence intervals for mutation rates across a wide range of evolutionary distances using FracMinHash	Mahmudur Rahman Hera, N. Tessa Pierce-Ward, David Koslicki	33(7):1061-1068	2023	10.1101/gr.277651.123
Benjamin Dominik Maier, Kristoffer Sahlin	Entropy predicts sensitivity of pseudo-random seeds	203-204	10.1007/978-3-031-29119-7	bioRxiv 2022.10.13.512198	Genome Research	Entropy predicts sensitivity of pseudorandom seeds	Benjamin Dominik Maier, Kristoffer Sahlin	33(7): 1162-1174	2023	10.1101/gr.277645.123
Jim Shaw, Yun William Yu	Seed-chain-extend alignment is accurate and runs in close to O(m log n) time for similar sequences: a rigorous average-case analysis	205-207	10.1007/978-3-031-29119-7	bioRxiv 2022.10.14.512303	Genome Research	Proving sequence aligners can guarantee accuracy in almost O(m log n) time through an average-case analysis of the seed-chain-extend heuristic	Jim Shaw, Yun William Yu	33(7): 1175-1187	2023	10.1101/gr.277637.122
Andrea Cracco, Alexandru I. Tomescu	Extremely-fast construction and querying of compacted and colored de Bruijn graphs with GGCAT	208-209	10.1007/978-3-031-29119-7	bioRxiv 2022.10.24.513174	Genome Research	Extremely fast construction and querying of compacted and colored de Bruijn graphs with GGCAT	Andrea Cracco, Alexandru I. Tomescu	33(7): 1198-1207	2023	10.1101/gr.277615.122
Xinhao Liu, Ron Zeira, Benjamin J. Raphael	PASTE2: Partial Alignment of Multi-slice Spatially Resolved Transcriptomics Data	210-211	10.1007/978-3-031-29119-7	bioRxiv 2023.01.08.523162	Genome Research	Partial alignment of multislice spatially resolved transcriptomics data	Xinhao Liu, Ron Zeira, Benjamin J. Raphael	33(7): 1124-1132	2023	10.1101/gr.277670.123
Ardalan Naseri, William Yue, Shaojie Zhang, Degui Zhi	FastRecomb: Fast Inference of Genetic Recombination Rates in Biobank Scale Data	212-213	10.1007/978-3-031-29119-7	bioRxiv 2023.01.09.523304	Genome Research	Fast inference of genetic recombination rates in biobank scale data	Ardalan Naseri, William Yue, Shaojie Zhang, Degui Zhi	33(7): 1015-1022	2023	10.1101/gr.277676.123
Omar Ahmed, Massimiliano Rossi, Christina Boucher, Ben Langmead	Efficient Taxa Identification Using a Pangenome Index	214-216	10.1007/978-3-031-29119-7	NONE	Genome Research	Efficient taxa identification using a pangenome index	Omar Ahmed, Massimiliano Rossi, Christina Boucher, Ben Langmead	33(7): 1069-1077	2023	10.1101/gr.277642.123
Claire McWhite, Mona Singh	Vector-Clustering Multiple Sequence Alignment: Aligning into the Twilight Zone of Protein Sequence Similarity with Protein Language Models	217-218	10.1007/978-3-031-29119-7	bioRxiv 2022.10.21.513099	Genome Research	Leveraging protein language models for accurate multiple sequence alignments	Claire McWhite, Isabel Armour-Garb, Mona Singh	33(7): 1145-1153	2023	10.1101/gr.277675.123
