Authors	Title (RECOMB 2023 Version)	LNCS 13976 Pages	Springer LNCS 13976 DOI	Preprint	Journal	Title (Journal version)	Issue and Pages	Journal Year	Journal DOI
Runpeng Luo, Yu Lin	VStrains: de novo reconstruction of viral strains via iterative path extraction from assembly graphs	3-20	10.1007/978-3-031-29119-7_1	bioRxiv 2022.10.21.513181	NONE				
Jason Fan, Jamshed Khan, Giulio Ermanno Pibiri, Robert Patro	Spectrum preserving tilings enable sparse and modular reference indexing	21-40	10.1007/978-3-031-29119-7_2	bioRxiv 2022.10.27.513881	NONE				
Yasamin Tabatabaee, Sebastien Roch, Tandy Warnow	Statistically Consistent Rooting of Species Trees under the Multispecies Coalescent Model	41-57	10.1007/978-3-031-29119-7_3	bioRxiv 2022.10.26.513897	Journal of Computational Biology	QR-STAR: A Polynomial-Time Statistically Consistent Method for Rooting Species Trees Under the Coalescent	30(11): 1146–1181	2023	10.1089/cmb.2023.0185
Ghanshyam Chandra, Chirag Jain	Sequence to graph alignment using gap-sensitive co-linear chaining	58-73	10.1007/978-3-031-29119-7_4	bioRxiv 2022.08.29.505691	Journal of Computational Biology	Gap-Sensitive Colinear Chaining Algorithms for Acyclic Pangenome Graphs	30(11): 1182–1197	2023	10.1089/cmb.2023.0186
Xiaogen Zhou, Zhiqiang Li, Tong Tong	DM-Net: a dual-model network for automated biomedical image diagnosis	74-84	10.1007/978-3-031-29119-7_5		NONE				
Bing-Xue Du, Yi Xu, Siu Ming Yiu, Hui Yu, Jian-Yu Shi	MTGL-ADMET: A Novel Multi-Task Graph Learning Framework for ADMET Prediction Enhanced by Status-Theory and Maximum Flow	85-103	10.1007/978-3-031-29119-7_6		NONE				
Shikha Mallick, Sahely Bhadra	CDGCN: Conditional de novo Drug generative model using Graph Convolution Networks	104-119	10.1007/978-3-031-29119-7_7		NONE				
Soufiane Mourragui, Marco Loog, Mirrelijn van Nee, Mark van de Wiel, Marcel Reinders, Lodewyk Wessels	Percolate: an exponential family JIVE model to design DNA-based predictors of drug response	120-138	10.1007/978-3-031-29119-7_8	bioRxiv 2022.09.11.507473	NONE				
Weizhong Zheng, John H.C. Fong, Yuk Kei Wan, Athena H.Y. Chu, Yuanhua Huang, Alan S.L. Wong, Joshua Ho	Translation rate prediction and regulatory motif discovery with multi-task learning	139-154	10.1007/978-3-031-29119-7_9	bioRxiv 2022.05.03.490410	NONE				
Spencer Krieger, John Kececioglu	Computing shortest hyperpaths for pathway inference in cellular reaction networks	155-173	10.1007/978-3-031-29119-7_10		Journal of Computational Biology	Shortest Hyperpaths in Directed Hypergraphs for Reaction Pathway Inference	30(11): 1198–1225	2023	10.1089/cmb.2023.0242
Ziqi Chen, Martin Min, Hongyu Guo, Chao Cheng, Trevor Clancy, Xia Ning	T-Cell Receptor Optimization with Reinforcement Learning and Mutation Polices for Precision Immunotherapy	174-192	10.1007/978-3-031-29119-7_11	arXiv:2303.02162	NONE				
Yunheng Han, Erin K. Molloy	TREE-QMC: Improving quartet graph construction for scalable and accurate species tree estimation from gene trees	195-196	10.1007/978-3-031-29119-7	bioRxiv 2022.06.25.497608	Genome Research	Improving quartet graph construction for scalable and accurate species tree estimation from gene trees	33(7):1042-1052	2023	10.1101/gr.277629.122
Baris Ekim, Kristoffer Sahlin, Paul Medvedev, Bonnie Berger, Rayan Chikhi	mapquik: Efficient low-divergence mapping of long reads in minimizer space	197-199	10.1007/978-3-031-29119-7	bioRxiv 2022.12.23.521809	Genome Research	Efficient mapping of accurate long reads in minimizer space with mapquik	33(7): 1188-1197	2023	10.1101/gr.277679.123
Mahmudur Rahman Hera, N. Tessa Pierce-Ward, David Koslicki	Deriving confidence intervals for mutation rates across a wide range of evolutionary distances using FracMinHash	200-202	10.1007/978-3-031-29119-7	bioRxiv 2022.01.11.475870	Genome Research	Deriving confidence intervals for mutation rates across a wide range of evolutionary distances using FracMinHash	33(7):1061-1068	2023	10.1101/gr.277651.123
Benjamin Dominik Maier, Kristoffer Sahlin	Entropy predicts sensitivity of pseudo-random seeds	203-204	10.1007/978-3-031-29119-7	bioRxiv 2022.10.13.512198	Genome Research	Entropy predicts sensitivity of pseudorandom seeds	33(7): 1162-1174	2023	10.1101/gr.277645.123
Jim Shaw, Yun William Yu	Seed-chain-extend alignment is accurate and runs in close to O(m log n) time for similar sequences: a rigorous average-case analysis	205-207	10.1007/978-3-031-29119-7	bioRxiv 2022.10.14.512303	Genome Research	Proving sequence aligners can guarantee accuracy in almost O(m log n) time through an average-case analysis of the seed-chain-extend heuristic	33(7): 1175-1187	2023	10.1101/gr.277637.122
Andrea Cracco, Alexandru I. Tomescu	Extremely-fast construction and querying of compacted and colored de Bruijn graphs with GGCAT	208-209	10.1007/978-3-031-29119-7	bioRxiv 2022.10.24.513174	Genome Research	Extremely fast construction and querying of compacted and colored de Bruijn graphs with GGCAT	33(7): 1198-1207	2023	10.1101/gr.277615.122
Amir Joudaki, Alexandru Meterez, Harun Mustafa, Ragnar Groot Koerkamp, André Kahles, Gunnar Rätsch	Aligning Distant Sequences to Graphs using Long Seed Sketches	233-235	10.1007/978-3-031-29119-7	bioRxiv 2022.10.26.513890 	Genome Research	Aligning distant sequences to graphs using long seed sketches	33(7): 1208-1217	2023	10.1101/gr.277659.123
Uyen Mai, Eduardo Charvel, Siavash Mirarab	MD-Cat: Phylogenetic Dating under a Flexible Categorical Model using Expectation-Maximization	236-238	10.1007/978-3-031-29119-7	bioRxiv 2022.10.06.511147	Systematic Biology	Expectation-Maximization enables Phylogenetic Dating under a Categorical Rate Model	73(5): 823-838	2024	10.1093/sysbio/syae034
Aditya Gorla, Sriram Sankararaman, Esteban Burchard, Jonathan Flint, Noah Zaitlen, Elior Rahmani	Phenotypic subtyping via contrastive learning	239-240	10.1007/978-3-031-29119-7	bioRxiv 2023.01.05.522921 	NONE				
Sara C. Schulte, Alexander Dilthey, Gunnar W. Klau	HOGVAX: Exploiting Peptide Overlaps to Maximize Population Coverage in Vaccine Design with Application to SARS-CoV-2	241-243	10.1007/978-3-031-29119-7	bioRxiv 2023.01.09.523288	Cell Systems	HOGVAX: Exploiting epitope overlaps to maximize population coverage in vaccine design with application to SARS-CoV-2	14(12): 1122-1130	2023	10.1016/j.cels.2023.11.001
Regev Schweiger, Richard Durbin	Ultra-fast genome-wide inference of pairwise coalescence times (Final version)	244-246	10.1007/978-3-031-29119-7	bioRxiv 2023.01.06.522935 	Genome Research	Ultrafast genome-wide inference of pairwise coalescence times	33(7): 1023-1031	2023	10.1101/gr.277665.123
Nathan LaPierre, Boyang Fu, Steven Turnbull, Eleazar Eskin, Sriram Sankararaman	Leveraging family data to design Mendelian Randomization that is provably robust to population stratification	247-248	10.1007/978-3-031-29119-7	bioRxiv 2023.01.05.522936	Genome Research	Leveraging family data to design Mendelian randomization that is provably robust to population stratification	33(7): 1032-1041	2023	10.1101/gr.277664.123
Ahsan Sanaullah, Degui Zhi, Shaojie Zhang	Minimal Positional Substring Cover: A Haplotype Threading Alternative to Li & Stephens Model	249-250	10.1007/978-3-031-29119-7	bioRxiv 2023.01.04.522803 	Genome Research	Minimal positional substring cover is a haplotype threading alternative to Li and Stephens model	33(7): 1007-1014	2023	10.1101/gr.277673.123
